GeoLon(deg),GeoLat(deg),Orbit,Trigger Time,T50(ms),T50_Err(ms),T50+/-Err(ms),Satellite Altitude(km),ML Counts,ML Counts Err,ML Counts+/-Err,TGF Name,EventType,source
-1.87,0.52,40902,1427103774,0.086,0.011,8.600e-2+/-1.100e-2,488.97,32.92,5.73,32.92+/-5.73,150323.10425,0,agile
102.09,2.07,40902,1427105527,0.104,0.015,1.040e-1+/-1.500e-2,501.11,24.0,4.889,24.00+/-4.889,150323.1112,0,agile
-71.93,2.48,40908,1427138955,0.061,0.009,6.100e-2+/-9.000e-3,500.18,18.0,4.234,18.00+/-4.234,150323.20291,0,agile
119.48,-1.49,40910,1427148237,0.027,0.005,2.700e-2+/-5.000e-3,481.21,9.97,3.156,9.97+/-3.156,150323.23035,0,agile
3.68,-2.1,40912,1427170528,0.04,0.008,4.000e-2+/-8.000e-3,480.42,12.95,3.595,12.95+/-3.595,150324.05152,0,agile
5.23,-0.18,40916,1427182671,0.101,0.014,1.010e-1+/-1.400e-2,484.1,26.0,5.087,26.00+/-5.087,150324.08375,0,agile
5.28,0.92,40916,1427188732,0.108,0.017,1.080e-1+/-1.700e-2,488.05,18.98,4.352,18.98+/-4.352,150324.10185,0,agile
101.0,2.05,40916,1427190345,0.038,0.008,3.800e-2+/-8.000e-3,501.21,10.98,3.308,10.98+/-3.308,150324.10454,0,agile
118.07,1.5,40916,1427190633,0.067,0.011,6.700e-2+/-1.100e-2,500.85,18.98,4.351,18.98+/-4.351,150324.10503,0,agile
-2.46,1.57,40918,1427194661,0.107,0.024,1.070e-1+/-2.400e-2,491.02,9.91,3.157,9.91+/-3.157,150324.11574,0,agile
8.24,2.41,40918,1427200902,0.913,0.14,9.130e-1+/-1.400e-1,497.14,21.0,4.574,21.00+/-4.574,150324.13414,1,agile
137.62,-2.48,40920,1427215203,0.032,0.007,3.200e-2+/-7.000e-3,483.44,11.99,3.455,11.99+/-3.455,150324.174,0,agile
10.6,-2.38,40928,1427249423,0.175,0.035,1.750e-1+/-3.500e-2,481.97,12.93,3.597,12.93+/-3.597,150325.03102,0,agile
99.58,0.15,40933,1427287279,0.333,0.054,3.330e-1+/-5.400e-2,499.53,19.01,4.352,19.01+/-4.352,150325.13411,0,agile
-91.43,-0.1,40933,1427290120,0.072,0.016,7.200e-2+/-1.600e-2,482.02,9.96,3.156,9.96+/-3.156,150325.14284,0,agile
10.46,2.38,40933,1427291835,0.196,0.032,1.960e-1+/-3.200e-2,498.81,18.99,4.347,18.99+/-4.347,150325.14571,0,agile
112.59,1.57,40945,1427360211,0.14,0.026,1.400e-1+/-2.600e-2,500.58,14.97,3.866,14.97+/-3.866,150326.09565,0,agile
108.19,-0.34,40947,1427372259,0.459,0.081,4.590e-1+/-8.100e-2,499.78,17.73,4.232,17.73+/-4.232,150326.13173,1,agile
-68.99,2.43,40951,1427393511,0.07,0.016,7.000e-2+/-1.600e-2,495.54,9.96,3.156,9.96+/-3.156,150326.19115,0,agile
-76.32,1.42,40953,1427405508,0.084,0.016,8.400e-2+/-1.600e-2,500.37,12.99,3.596,12.99+/-3.596,150326.22314,2,agile
-76.32,1.42,40953,1427405508,0.093,0.017,9.300e-2+/-1.700e-2,500.37,14.99,3.864,14.99+/-3.864,150326.22314,3,agile
27.47,-2.42,40955,1427413319,0.27,0.028,2.700e-1+/-2.800e-2,486.28,56.4,7.525,56.4+/-7.525,150327.00415,0,agile
24.29,-2.04,40955,1427419324,0.302,0.042,3.020e-1+/-4.200e-2,483.17,25.94,5.09,25.94+/-5.09,150327.0222,0,agile
77.67,1.16,40957,1427426279,0.098,0.012,9.800e-2+/-1.200e-2,482.58,30.96,5.554,30.96+/-5.554,150327.04175,0,agile
