GRB Name,Trigger Time,RA (deg),DEC (deg),T90 (sec),Normalised Duration,source
GRB240627A,1719532740,--,--,11,11,astrosat
GRB240619C,1718840691,340.68,-71.85,14.16,14.16,astrosat
GRB240607A,1717758074,17.51,-30.86,12.3,12.3,astrosat
GRB240531A,1717181652,91.41,25.13,0.6,0.6,astrosat
GRB240529A,1716951511,335.32,51.56,40,40,astrosat
GRB240519A,1716095219,293.91,-69.35,8.2,8.2,astrosat
GRB240516B,1715830588,145.4,-9.8,29,29,astrosat
GRB240516A,1715830588,212.77,-63.51,22,22,astrosat
GRB240514D,1715647392,--,--,5.78,5.78,astrosat
GRB240513B,1715617302,2.5,33.8,0.68,0.68,astrosat
GRB240513A,1715584927,163.82,-27.6225,6.4,6.4,astrosat
GRB240503A,1714741600,--,--,47,47,astrosat
GRB240501B,1714560220,265.23,27.95,27,27,astrosat
GRB240426A,1714137849,--,--,20,20,astrosat
GRB240421B,1713692573,299.70,-14.86,6.3,6.3,astrosat
GRB240408B,1712535003,--,--,45.46,45.46,astrosat
GRB240331A,1711929319,30.07,-5.4,20.29,20.29,astrosat
GRB240329A,1711748587,259.7,-4.79,4.21,4.21,astrosat
GRB240324A,1711251313,--,--,0.79,0.79,astrosat
GRB240320B,1710964574,275.17,-34.22,--,--,astrosat
GRB240317A,1710668641,223.95,19.07,10,10,astrosat
GRB240315B,1710539151,--,--,34.2,34.2,astrosat
GRB240306A,1709707550,20.61,-41.95,7.38,7.38,astrosat
GRB240305C,1709676996,261.1,-3.24,0.45,0.45,astrosat
GRB240225C,1708838378,--,--,6.7,6.7,astrosat
GRB240225B,1708891921,128.5,27.5,19,19,astrosat
GRB240205B,1707171188,351.48,-55.13,43,43,astrosat
GRB240204A,1707059258,104.18,1.03,10.5,10.5,astrosat
GRB240201A,1706812415,--,--,10.07,10.07,astrosat
GRB240125A,1706175300,131.53,66.85,1.4,1.4,astrosat
GRB240124B,1706130872,--,--,2.35,2.35,astrosat
GRB240123C,1706051556,244.08,-58.58,1.4,1.4,astrosat
GRB240119A,1705685347,152.67,-83.61,0.06,0.06,astrosat
GRB240118D,1705564093,--,--,3.91,3.91,astrosat
GRB240117A,1705521151,--,--,3.62,3.62,astrosat
GRB240115B,1705337137,191.85,-35.53,46.8,46.8,astrosat
GRB240110A,1704898410,--,--,19,19,astrosat
GRB240107A,1704654947,298.01,-68.23,160.2,160.2,astrosat
GRB240102C,1704164402,181.19,-16.56,10,10,astrosat
GRB240101C,1704113843,358.49,28.74,0.13,0.13,astrosat
GRB231215A,1702633645,9.74,57.64,15,15,astrosat
GRB231214A,1702585464,305.68,-72.43,20,20,astrosat
GRB231208A,1702002587,--,--,2.4,2.4,astrosat
GRB231206A,1701830263,313.15,-23.54,--,--,astrosat
GRB231205A,1701743111,202.94,17.93,--,--,astrosat
GRB231204A,1701720004,326.63,55.41,13,13,astrosat
GRB231129C,1701285018,2.46,-82.19,7.3,7.3,astrosat
GRB231127A,1701062061,--,--,3,3,astrosat
GRB231125A,1700934439,--,--,1.09,1.09,astrosat
GRB231123A,1700707444,83.78,-19.57,3.5,3.5,astrosat
GRB231122B,1700665961,106.2,-21.3,34,34,astrosat
GRB231118A,1700327789,4.83,-48.03,3.9,3.9,astrosat
GRB231117A,1700190199,332.39,13.52,0.42,0.42,astrosat
GRB231110A,1699651174,356.3,82.62,6.4,6.4,astrosat
GRB231106A,1699294403,113.45,29.22,54,54,astrosat
GRB231104A,1699062458,23.81,83.79,5,5,astrosat
GRB231030B,1698695899,244.02,56.44,6.4,6.4,astrosat
GRB231028B,1698531954,325.05,52.37,57.95,57.95,astrosat
GRB231028A,1698466146,214.3,21.82,8,8,astrosat
GRB231020B,1697837752,221.44,15.61,34,34,astrosat
GRB231020A,1697828218,314.49,-29.25,8,8,astrosat
GRB231015A,1697413774,--,--,24,24,astrosat
GRB230919A,1695142703,71.62,44.08,1.35,1.35,astrosat
GRB230917A,1694911478,--,--,67,67,astrosat
GRB230911B,1694406349,351.71,-55.01,15,15,astrosat
GRB230908A,1694191277,--,--,9.5,9.5,astrosat
GRB230906A,1694004907,81.37,-47.41,0.09,0.09,astrosat
GRB230905B,1693928975,340.1,9.2,45,45,astrosat
GRB230828A,1693240183,--,--,142,142,astrosat
GRB230824B,1692844010,271.1,43.8,3.9,3.9,astrosat
GRB230820A,1692529512,--,--,4.8,4.8,astrosat
GRB230818A,1692401254,285.88,40.89,6.3,6.3,astrosat
GRB230818B,1692353573,--,--,20,20,astrosat
GRB230817A,1692273776,325.85,14.16,48,48,astrosat
GRB230815B,1692115708,307.33,4.18,33,33,astrosat
GRB230812B,1691866692,267.1,11.65,7,7,astrosat
GRB230805B,1691234612,207.74,31.19,54,54,astrosat
GRB230803A,1691026122,152.28,-66.3,25,25,astrosat
GRB230802B,1691020727,22.22,9.62,2.65,2.65,astrosat
GRB230727A,1690455786,327.21,74.62,11.75,11.75,astrosat
GRB230709C,1688924306,263.5,-71.17,0.33,0.33,astrosat
GRB230707B,1688755580,28.5,-41.3,83,83,astrosat
GRB230701B,1688171796,254.8,72.9,27,27,astrosat
GRB230625B,1687678125,348.05,27.39,65,65,astrosat
GRB230616A,1686947877,192.03,5.68,0.06,0.06,astrosat
GRB230614C,1686737431,229.21,10.30,5,5,astrosat
GRB230608A,1686249277,297.63,11.57,16,16,astrosat
GRB230608B,1686222802,--,--,2.26,2.26,astrosat
GRB230604A,1685858028,--,--,1.24,1.24,astrosat
GRB230524A,1684908396,177.47,16.34,16,16,astrosat
GRB230524B,1684907039,343.95,1.85,21,21,astrosat
GRB230522A,1684726481,55.12,4.60,9.13,9.13,astrosat
GRB230521B,1684695124,--,--,8.3,8.3,astrosat
GRB230518A,1684450167,19.52,-66.59,0.34,0.34,astrosat
GRB230512A,1683872868,265.4,38.4,2.44,2.44,astrosat
GRB230510B,1683753695,0.69,27.53,270,270,astrosat
GRB230430A,1682840839,191.33,33.92,0.28,0.28,astrosat
GRB230426A,1682540940,37.9,-79.35,23,23,astrosat
GRB230418A,1681852294,43.44,-20.35,0.20,0.20,astrosat
GRB230415A,1681591729,61.71,-69.94,--,--,astrosat
GRB230405B,1680724684,271.44,-47.07,4.26,4.26,astrosat
GRB230404A,1680649208,139.8,-3.5,29,29,astrosat
GRB230402A,1680420756,96.4,-8.9,37,37,astrosat
GRB230328B,1680015288,291.01,80.01,11.78,11.78,astrosat
GRB230321B,1679365453,95.31,53.0,5.57,5.57,astrosat
GRB230320B,1679346744,28.11,68.88,11.27,11.27,astrosat
GRB230313A,1678707526,202.4,47.2,3.68,3.68,astrosat
GRB230310A,1678409110,257.6,-23.5,10.13,10.13,astrosat
GRB230309A,1678365141,88.88,-62.2,25,25,astrosat
GRB230307A,1678203847,60.82,-75.38,33,33,astrosat
GRB230304C,1677967300,280.7,-10.8,9.34,9.34,astrosat
GRB230304D,1677941956,210.84,-43.21,25,25,astrosat
GRB230304B,1677940550,110.44,-2.12,22.11,22.11,astrosat
GRB230304A,1677910855,29.2,32.8,9.73,9.73,astrosat
GRB230303A,1677872912,--,--,91,91,astrosat
GRB230217A,1676670791,280.77,-28.8374,0.77,0.77,astrosat
GRB230216B,1676574211,--,--,5.85,5.85,astrosat
GRB230204B,1675547066,197.58,-21.752,217,217,astrosat
GRB230129A,1674972322,111.9,2.4,0.78,0.78,astrosat
GRB230128A,1674946070,197.6,61.7,53,53,astrosat
GRB230120A,1674211993,85.60,+26.49,115,115,astrosat
GRB230114C,1673661619,--,--,93,93,astrosat
GRB230114B,1673728857,--,--,92.65,92.65,astrosat
GRB230101A,1672539399,206.3,-21.9,81,81,astrosat
GRB221209A,1670565025,231.64,49.85,2.7,2.7,astrosat
GRB221208A,1670469058,--,--,6.86,6.86,astrosat
GRB221203C,1670089255,--,--,9,9,astrosat
GRB221126A,1669468050,143.5,13.1,4,4,astrosat
GRB221121A,1669012490,163.1,69.35,22,22,astrosat
GRB221027C,1666868466,--,--,6,6,astrosat
GRB221025A,1666659499,133.4,11.0,0.45,0.45,astrosat
GRB221022B,1666479349,170.48,18.41,31,31,astrosat
GRB221016A,1665963563,38.95,-34.61,6,6,astrosat
GRB220930A,1664536313,64.73,13.35,9,9,astrosat
GRB220912A,1662943822,165.3,49.3,26,26,astrosat
GRB220910A,1662788907,9.1,-1.1,2.6,2.6,astrosat
GRB220907A,1662559527,269.60,-18.70,3,3,astrosat
GRB220804A,1659578913,159.41,9.38,5,5,astrosat
GRB220803A,1659519550,203.42,-53.68,4,4,astrosat
GRB220729A,1659089852,316.69,-4.17,0.63,0.63,astrosat
GRB220707A,1657226252,205.89,-41.65,75,75,astrosat
GRB220702B,1656792766,170.7,46.8,16,16,astrosat
GRB220627A,1656365817,201.2,-32.5,43,43,astrosat
GRB220623B,1655998437,216.11,50.15,0.16,0.16,astrosat
GRB220623A,1655967855,145.46,75.82,9,9,astrosat
GRB220619A,1655614705,42.63,-2.32,47,47,astrosat
GRB220610B,1654844682,229.64,-57.80,20,20,astrosat
GRB220609B,1654777268,347.79,0.38,11,11,astrosat
GRB220608A,1654664625,229.31,-0.23,36,36,astrosat
GRB220527A,1653643036,323.57,21.56,7,7,astrosat
GRB220522B,1653178659,43.72,-3.79,18,18,astrosat
GRB220514A,1652531073,147.68,13.16,54,54,astrosat
GRB220511A,1652276517,285.41,17.52,1.80,1.80,astrosat
GRB220507A,1651918146,222.21,53.25,5,5,astrosat
GRB220430A,1651326796,97.6,9.5,40,40,astrosat
GRB220411A,1649661601,179.64,25,19,19,astrosat
GRB220408B,1649402885,94.8,-50.9,25,25,astrosat
GRB220324A,1648089545,190.98,71.56,22,22,astrosat
GRB220323A,1648037412,355.2,71.9,0.32,0.32,astrosat
GRB220320A,1647751195,94.15,-55.92,11,11,astrosat
GRB220316A,1647429938,222.9,41.96,30,30,astrosat
GRB220128A,1643339897,350.19,-49.73,26,26,astrosat
GRB220124A,1642995499,241.95,41.98,231,231,astrosat
GRB220111A,1641928910,149.1,0.5,10,10,astrosat
GRB220108B,1641643116,--,--,0.13,0.13,astrosat
GRB220107B,1641582096,216.5,20.0,19,19,astrosat
GRB220107A,1641566739,168.2,35.0,97,97,astrosat
GRB211231A,1640934032,292.2,-24.9,13,13,astrosat
GRB211219B,1639950587,68.5,-63.2,14,14,astrosat
GRB211219A,1639925723,58.65,-34.62,15,15,astrosat
GRB211206A,1638820271,--,--,30,30,astrosat
GRB211206B,1638803432,--,--,27,27,astrosat
GRB211204C,1638653821,338.95,52.16,13,13,astrosat
GRB211120A,1637449521,315.14,42.85,4.8,4.8,astrosat
GRB211118A,1637278695,26.46,73.78,2.2,2.2,astrosat
GRB211110A,1636514790,324.19,-3.15,14,14,astrosat
GRB211105A,1636086921,81.93,-57.38,105,105,astrosat
GRB211102B,1635861936,300.9,-2.6,16,16,astrosat
GRB211022A,1634863649,164.5,-50.6,92,92,astrosat
GRB210926A,1632689550,291.11,1.5,26,26,astrosat
GRB210925B,1632532810,48.82,-52.86,6,6,astrosat
GRB210909B,1631217760,358.6,-74.9,24,24,astrosat
GRB210905A,1630800762,309.06,-44.43,24,24,astrosat
GRB210826A,1629961306,45.3,-71.7,24,24,astrosat
GRB210822A,1629623899,304.43,5.27,10,10,astrosat
GRB210818A,1629248529,149.13,-87.03,33,33,astrosat
GRB210802A,1627934887,230.9,29.8,12,12,astrosat
GRB210730A,1627621050,149.59,69.69,3,3,astrosat
GRB210727A,1627379447,189.23,-59.93,0.9,0.9,astrosat
GRB210709A,1625806145,295.28,-44.22,14,14,astrosat
GRB210704A,1625427205,158.1,58.3,1,1,astrosat
GRB210704B,1625415949,203.44,-41.87,37,37,astrosat
GRB210607C,1623101961,--,--,17,17,astrosat
GRB210531A,1622462420,140.59,8.28,20,20,astrosat
GRB210528A,1622210627,134.1,-16.3,0.89,0.89,astrosat
GRB210519A,1621406334,187.9,-40.2,25,25,astrosat
GRB210518A,1621343050,270.0,49.6,6,6,astrosat
GRB210516A,1621208087,22.1,74.9,0.84,0.84,astrosat
GRB210515B,1621090607,315.2,45.7,9,9,astrosat
GRB210514A,1621016628,2.94,-21.89,39,39,astrosat
GRB210501A,1619868718,357.84,-71.3,15,15,astrosat
GRB210427A,1619499432,177.3,-53.4,17,17,astrosat
GRB210424B,1619251316,284.71,16.17,1.24,1.24,astrosat
GRB210421B,1619002484,272.1,57.2,16,16,astrosat
GRB210419B,1618866628,307.1,-0.1,35,35,astrosat
GRB210411B,1618147964,115.7,-74.8,27,27,astrosat
GRB210410A,1618015996,269.75,45.36,20,20,astrosat
GRB210330A,1617108346,164.3,-55.6,13,13,astrosat
GRB210328A,1616964316,207.9,-8.6,39,39,astrosat
GRB210324C,1616615998,35.11,-48.6,63,63,astrosat
GRB210324A,1616584468,148.5,37.2,33,33,astrosat
GRB210323A,1616538737,317.95,25.37,34,34,astrosat
GRB210318B,1616036913,264.22,-35.81,10,10,astrosat
GRB210306C,1615064833,--,--,11,11,astrosat
GRB210306A,1615002837,129.965,60.196,9,9,astrosat
GRB210228B,1614475374,91.62,-41.29,6,6,astrosat
GRB210213B,1613199147,--,--,15,15,astrosat
GRB210210B,1612976828,205.19,17.32,65,65,astrosat
GRB210207B,1612734731,270.582,53.694,42,42,astrosat
GRB210205A,1612546435,347.22,56.3,19,19,astrosat
GRB210204A,1612420203,103.7,64.66,200,200,astrosat
GRB210126A,1611655208,70.68,-67.94,67,67,astrosat
