Trigger Time,Field Magnitude Average(nT),Speed(km/s),source
2000-06-06 00:00:00,11.87,456.0,dst
2000-06-06 06:00:00,9.23,440.4,dst
2000-06-06 12:00:00,4.56,449.0,dst
2000-06-06 18:00:00,6.84,440.9,dst
2000-06-07 00:00:00,5.6,457.3,dst
2000-06-07 06:00:00,4.5,465.9,dst
2000-06-07 12:00:00,6.05,488.6,dst
2000-06-07 18:00:00,5.93,525.7,dst
2000-06-08 00:00:00,6.39,543.9,dst
2000-06-08 06:00:00,5.25,529.2,dst
2000-06-08 12:00:00,13.32,794.1,dst
2000-06-08 18:00:00,17.81,791.2,dst
2000-06-09 12:00:00,8.02,600.1,dst
2000-06-09 18:00:00,10.34,580.2,dst
2000-06-10 00:00:00,9.39,,dst
2000-06-10 06:00:00,8.24,558.0,dst
2000-06-10 12:00:00,6.67,,dst
2000-06-10 18:00:00,6.38,479.2,dst
2000-06-11 00:00:00,6.86,488.6,dst
2000-06-11 12:00:00,10.09,509.1,dst
2000-06-11 18:00:00,13.68,,dst
2000-06-12 00:00:00,6.72,583.1,dst
2000-06-12 06:00:00,3.77,563.1,dst
2000-06-12 12:00:00,4.17,564.6,dst
2000-06-12 18:00:00,8.13,484.7,dst
2000-06-13 00:00:00,8.03,506.3,dst
2000-06-13 06:00:00,5.49,,dst
2000-06-13 12:00:00,5.64,463.8,dst
2000-06-13 18:00:00,4.03,458.2,dst
2000-06-14 00:00:00,5.2,449.2,dst
2000-06-14 06:00:00,2.94,419.7,dst
2000-06-14 12:00:00,9.47,472.0,dst
2000-06-14 18:00:00,10.58,437.2,dst
2000-06-15 00:00:00,13.85,445.4,dst
2000-06-15 06:00:00,8.93,,dst
2000-06-15 12:00:00,9.14,547.0,dst
2000-06-15 18:00:00,5.72,624.4,dst
2000-06-16 00:00:00,5.19,600.9,dst
2000-06-16 06:00:00,5.55,555.0,dst
2000-06-16 12:00:00,4.91,,dst
2000-06-16 18:00:00,5.72,476.6,dst
2000-06-17 00:00:00,5.25,470.8,dst
2000-06-17 06:00:00,4.82,501.5,dst
2000-06-17 12:00:00,5.03,447.5,dst
2000-06-17 18:00:00,5.85,421.8,dst
2000-06-18 00:00:00,4.1,438.0,dst
2000-06-18 06:00:00,3.29,394.1,dst
2000-06-18 12:00:00,4.11,388.9,dst
2000-06-18 18:00:00,6.94,380.1,dst
2000-06-19 00:00:00,6.59,,dst
2000-06-19 12:00:00,6.87,385.9,dst
2000-06-19 18:00:00,7.77,381.0,dst
2000-06-20 00:00:00,6.21,388.8,dst
2000-06-20 12:00:00,8.06,369.3,dst
2000-06-20 18:00:00,5.13,369.7,dst
2000-06-21 00:00:00,4.03,358.2,dst
2000-06-21 06:00:00,2.45,350.2,dst
2000-06-21 12:00:00,2.79,353.8,dst
2000-06-21 18:00:00,6.99,371.7,dst
2000-06-22 00:00:00,7.88,364.3,dst
2000-06-22 06:00:00,3.13,442.7,dst
2000-06-22 12:00:00,5.53,455.7,dst
2000-06-22 18:00:00,7.01,463.6,dst
2000-06-23 00:00:00,9.15,436.6,dst
2000-06-23 06:00:00,8.02,408.9,dst
2000-06-23 12:00:00,7.95,412.2,dst
