trigger_time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type,horizontal_err,depth_err,magnitude_err,magnst,status,locationsource,magsource,source
1719828983,-5.5604,153.5894,41.587,5.0,mb,53.0,68.0,7.387,1.16,us,us6000n9k8,2024-07-01T10:33:17.040Z,"198 km SE of Kokopo, Papua New Guinea",earthquake,8.92,6.929,0.082,48.0,reviewed,us,us,earthquake
1719810723,14.7374,147.0554,10.0,5.0,mb,60.0,76.0,1.317,0.91,us,us6000n9jh,2024-07-01T09:22:17.380Z,"149 km ESE of Saipan, Northern Mariana Islands",earthquake,8.42,1.883,0.068,70.0,reviewed,us,us,earthquake
1719801483,-62.6803,165.5617,10.0,5.1,mb,25.0,148.0,14.959,0.77,us,us6000n9iu,2024-07-01T02:53:11.040Z,Balleny Islands region,earthquake,9.46,1.92,0.116,24.0,reviewed,us,us,earthquake
1719781056,34.4741,45.6314,4.552,5.0,mwr,65.0,159.0,0.311,0.76,us,us6000n9he,2024-07-01T09:24:39.000Z,"21 km W of Sarpol-e Z̄ahāb, Iran",earthquake,4.99,4.504,0.052,35.0,reviewed,us,us,earthquake
1719771800,19.0069,144.9435,600.746,5.2,mww,90.0,72.0,3.831,0.71,us,us6000n9gl,2024-07-01T06:33:33.970Z,"Maug Islands region, Northern Mariana Islands",earthquake,10.75,7.539,0.089,12.0,reviewed,us,us,earthquake
1719763589,-9.3956,107.3989,25.2,5.2,mb,31.0,80.0,1.937,1.09,us,us6000n9fs,2024-07-01T02:14:41.128Z,"239 km SSW of Singaparna, Indonesia",earthquake,6.57,5.815,0.077,55.0,reviewed,us,us,earthquake
1719679126,-54.0099,7.159,10.0,5.6,mww,77.0,34.0,23.718,1.06,us,us6000n96v,2024-06-30T16:42:40.356Z,Bouvet Island region,earthquake,10.45,1.744,0.086,13.0,reviewed,us,us,earthquake
1719659432,52.2937,-175.1088,99.291,5.0,mb,77.0,126.0,0.568,1.01,us,us6000n95k,2024-06-30T11:20:46.918Z,"62 km W of Atka, Alaska",earthquake,7.21,5.18,0.023,614.0,reviewed,us,us,earthquake
1719645773,-16.1686,-74.3463,52.923,5.3,mww,58.0,137.0,4.408,1.24,us,us6000n94d,2024-06-29T21:46:39.059Z,"41 km S of Atiquipa, Peru",earthquake,5.47,7.128,0.086,13.0,reviewed,us,us,earthquake
1719644733,-16.1219,-74.5791,19.32,6.1,mww,98.0,89.0,4.625,1.04,us,us6000n948,2024-06-30T07:38:42.474Z,"42 km SSW of Atiquipa, Peru",earthquake,6.04,4.406,0.059,28.0,reviewed,us,us,earthquake
1719634908,-24.0128,-70.2167,43.529,5.2,mb,62.0,110.0,1.279,1.02,us,us6000n933,2024-06-29T11:58:54.823Z,"43 km SSE of Antofagasta, Chile",earthquake,6.18,6.129,0.031,354.0,reviewed,us,us,earthquake
1719595004,10.1108,93.6697,10.0,5.0,mb,68.0,62.0,5.837,0.83,us,us6000n8zg,2024-06-28T17:36:41.040Z,"199 km SSE of Port Blair, India",earthquake,9.25,1.857,0.072,62.0,reviewed,us,us,earthquake
1719579639,-20.6842,-175.6828,10.0,5.7,mww,56.0,79.0,0.659,0.93,us,us6000n8vk,2024-06-28T13:32:15.040Z,"66 km NW of Houma, Tonga",earthquake,7.45,1.125,0.069,20.0,reviewed,us,us,earthquake
1719556568,-30.0548,-176.3275,10.0,5.0,mb,40.0,101.0,1.596,1.14,us,us6000n8tw,2024-06-28T06:55:09.040Z,Kermadec Islands region,earthquake,11.2,1.864,0.078,52.0,reviewed,us,us,earthquake
1719552997,-15.8106,-74.4447,27.985,7.2,mww,89.0,46.0,4.677,1.0,us,us6000n8tq,2024-06-30T18:59:42.429Z,"8 km W of Atiquipa, Peru",earthquake,9.22,4.746,0.041,56.0,reviewed,us,us,earthquake
1719506271,-33.3635,-179.1986,32.25,5.9,mww,91.0,56.0,4.232,1.12,us,us6000n8nu,2024-06-28T16:42:05.407Z,south of the Kermadec Islands,earthquake,8.99,3.45,0.048,42.0,reviewed,us,us,earthquake
1719500543,-19.6138,66.8529,10.0,5.3,mww,53.0,60.0,3.285,0.74,us,us6000n8vj,2024-06-28T17:40:45.040Z,Mauritius - Reunion region,earthquake,10.75,1.856,0.061,26.0,reviewed,us,us,earthquake
1719484922,-6.4887,149.4228,22.86,5.2,mb,46.0,126.0,3.663,1.37,us,us6000n8ld,2024-06-27T10:58:21.040Z,"34 km SSW of Kandrian, Papua New Guinea",earthquake,10.3,5.732,0.093,38.0,reviewed,us,us,earthquake
1719406670,-13.254,167.097,192.575,5.1,mww,69.0,43.0,7.738,0.73,us,us6000n892,2024-06-28T12:01:03.040Z,"84 km NW of Sola, Vanuatu",earthquake,9.94,6.716,0.086,13.0,reviewed,us,us,earthquake
1719365053,8.0754,90.4097,10.0,5.6,mww,123.0,35.0,7.082,0.57,us,us6000n877,2024-06-27T01:29:11.867Z,"Nicobar Islands, India region",earthquake,7.45,1.721,0.066,22.0,reviewed,us,us,earthquake
1719304259,33.4887,141.2838,30.644,5.4,mww,118.0,58.0,1.286,1.01,us,us6000n82p,2024-06-26T08:39:52.793Z,"204 km SSE of Katsuura, Japan",earthquake,7.33,4.416,0.061,26.0,reviewed,us,us,earthquake
1719303646,-54.2645,-56.9279,10.0,5.0,mb,46.0,85.0,2.683,1.36,us,us6000n82m,2024-06-25T13:34:00.040Z,Falkland Islands region,earthquake,8.38,1.894,0.082,48.0,reviewed,us,us,earthquake
1719297933,-20.905,-173.8305,10.0,5.1,mb,45.0,83.0,1.309,1.38,us,us6000n82d,2024-06-25T15:17:08.517Z,"126 km ENE of ‘Ohonua, Tonga",earthquake,3.92,1.878,0.047,146.0,reviewed,us,us,earthquake
1719289898,-63.8128,-165.7365,10.0,5.0,mb,27.0,90.0,16.421,0.75,us,us6000n82c,2024-06-25T23:10:20.040Z,Pacific-Antarctic Ridge,earthquake,6.77,1.879,0.123,21.0,reviewed,us,us,earthquake
1719236166,-21.9489,-179.5316,588.529,5.1,mb,93.0,49.0,4.76,0.74,us,us7000muc2,2024-06-24T14:01:12.040Z,Fiji region,earthquake,10.66,6.404,0.024,559.0,reviewed,us,us,earthquake
1719222902,-7.093,129.9983,103.228,5.3,mww,92.0,28.0,2.555,1.36,us,us7000mua7,2024-06-25T01:18:45.483Z,"Kepulauan Babar, Indonesia",earthquake,7.37,6.582,0.103,9.0,reviewed,us,us,earthquake
1719216218,-14.6086,167.2485,156.689,6.3,mww,74.0,32.0,6.549,0.86,us,us7000mu8s,2024-06-24T08:29:26.993Z,"51 km NNE of Port-Olry, Vanuatu",earthquake,8.95,6.191,0.033,90.0,reviewed,us,us,earthquake
1719162977,16.6785,-99.4464,14.395,5.2,mww,67.0,172.0,1.217,0.61,us,us7000mu56,2024-06-27T20:47:31.600Z,"11 km SE of Llano de la Puerta, Mexico",earthquake,8.82,4.596,0.046,45.0,reviewed,us,us,earthquake
1719152829,23.7981,121.6812,22.67,5.1,mww,59.0,56.0,0.382,1.26,us,us7000mu4k,2024-06-23T16:15:03.272Z,"21 km SSE of Hualien City, Taiwan",earthquake,3.88,4.897,0.103,9.0,reviewed,us,us,earthquake
1719128740,53.5135,158.7042,131.112,5.2,mww,109.0,42.0,0.727,0.71,us,us7000mu31,2024-06-23T09:21:48.040Z,"42 km NNE of Yelizovo, Russia",earthquake,9.82,4.746,0.047,43.0,reviewed,us,us,earthquake
1719115080,10.753,-62.6296,87.436,6.0,mww,131.0,21.0,1.671,1.11,us,us7000mu1p,2024-06-27T17:35:38.040Z,"29 km NE of Yaguaraparo, Venezuela",earthquake,7.88,4.456,0.035,78.0,reviewed,us,us,earthquake
1719112327,37.035,141.2665,55.693,5.0,mb,87.0,137.0,2.503,0.77,us,us7000mu1d,2024-06-23T03:41:18.584Z,"34 km E of Iwaki, Japan",earthquake,7.93,6.373,0.038,230.0,reviewed,us,us,earthquake
1719089205,-15.8757,-74.4597,29.259,5.1,mb,50.0,130.0,4.504,1.08,us,us7000mu0g,2024-06-25T06:29:20.040Z,"13 km SW of Atiquipa, Peru",earthquake,9.58,5.538,0.04,202.0,reviewed,us,us,earthquake
1719070508,-56.0728,-27.5841,117.421,5.0,mb,62.0,43.0,5.408,0.84,us,us7000mtyw,2024-06-22T22:19:29.040Z,South Sandwich Islands region,earthquake,6.31,5.386,0.081,49.0,reviewed,us,us,earthquake
1719042363,-6.8934,-12.7687,10.0,5.0,mb,43.0,64.0,11.335,0.85,us,us7000mtxp,2024-06-22T08:12:35.040Z,"214 km ENE of Georgetown, Saint Helena",earthquake,11.13,1.882,0.09,39.0,reviewed,us,us,earthquake
1719016914,13.9598,124.9873,10.0,5.1,mww,67.0,59.0,10.389,0.83,us,us7000mtvu,2024-06-22T01:01:40.125Z,"67 km ENE of Gigmoto, Philippines",earthquake,8.47,1.874,0.083,14.0,reviewed,us,us,earthquake
1719016449,-17.531,-172.841,10.0,5.2,mww,43.0,65.0,3.166,1.59,us,us7000mtvr,2024-06-22T00:54:56.040Z,"173 km NE of Neiafu, Tonga",earthquake,5.02,1.89,0.098,10.0,reviewed,us,us,earthquake
1719003190,0.8245,-26.21,10.0,5.5,mww,70.0,47.0,11.717,0.72,us,us7000mtur,2024-06-22T20:56:28.622Z,central Mid-Atlantic Ridge,earthquake,10.3,1.863,0.071,19.0,reviewed,us,us,earthquake
1718997264,-19.3797,175.1555,10.0,5.1,mww,41.0,100.0,3.193,1.17,us,us7000mttv,2024-06-21T19:33:42.040Z,"283 km WSW of Sigatoka, Fiji",earthquake,9.9,1.782,0.073,18.0,reviewed,us,us,earthquake
1718971956,50.944,-179.134,10.0,5.0,mb,100.0,81.0,0.643,1.44,us,us7000mtsd,2024-06-30T12:22:50.384Z,"202 km WSW of Adak, Alaska",earthquake,3.58,1.825,0.027,431.0,reviewed,us,us,earthquake
1718928677,-3.5646,139.8592,75.522,5.0,mb,70.0,29.0,1.341,0.64,us,us7000mtpd,2024-06-21T01:18:21.040Z,"137 km SW of Abepura, Indonesia",earthquake,9.13,5.364,0.05,128.0,reviewed,us,us,earthquake
1718853773,-19.0349,169.5083,245.807,5.0,mb,54.0,105.0,4.049,0.81,us,us7000mtj4,2024-06-20T03:39:19.040Z,"60 km NNE of Isangel, Vanuatu",earthquake,5.86,7.607,0.087,42.0,reviewed,us,us,earthquake
1718791681,-56.6421,-25.4662,15.779,5.7,mb,77.0,69.0,6.698,0.53,us,us7000mtdy,2024-06-20T10:12:00.705Z,South Sandwich Islands region,earthquake,11.35,4.898,0.069,74.0,reviewed,us,us,earthquake
1718746953,-18.8857,168.8647,99.248,5.0,mb,74.0,100.0,3.939,0.77,us,us7000mtap,2024-06-19T00:31:45.042Z,"84 km NNW of Isangel, Vanuatu",earthquake,10.15,6.926,0.04,206.0,reviewed,us,us,earthquake
1718704280,-32.0236,-177.167,70.786,5.2,mb,25.0,157.0,2.828,0.91,us,us7000mt55,2024-06-18T10:10:31.040Z,south of the Kermadec Islands,earthquake,13.93,9.374,0.115,25.0,reviewed,us,us,earthquake
1718692838,-16.6351,-173.8371,53.927,5.8,mww,112.0,45.0,3.358,0.72,us,us7000mt4l,2024-06-19T06:44:13.561Z,"75 km S of Hihifo, Tonga",earthquake,7.51,3.525,0.056,31.0,reviewed,us,us,earthquake
1718677329,-3.8775,-76.6687,100.162,5.5,mww,155.0,33.0,2.728,0.66,us,us7000mt41,2024-07-01T02:58:16.169Z,"51 km SSW of Alianza Cristiana, Peru",earthquake,7.73,3.18,0.034,83.0,reviewed,us,us,earthquake
1718673009,17.5069,-105.0711,10.0,5.0,mb,127.0,56.0,4.221,0.63,us,us7000mt3p,2024-07-01T00:46:12.040Z,"188 km SW of Cuyutlán, Mexico",earthquake,8.6,1.762,0.023,615.0,reviewed,us,us,earthquake
1718657398,-6.3443,146.2942,103.731,5.2,mww,108.0,25.0,3.159,0.66,us,us7000mt2v,2024-06-18T02:12:32.748Z,"47 km E of Kainantu, Papua New Guinea",earthquake,7.14,4.269,0.066,22.0,reviewed,us,us,earthquake
1718633384,-11.4455,166.2433,48.236,5.6,mww,168.0,16.0,6.505,0.64,us,us7000mt0h,2024-06-27T17:04:22.904Z,"93 km SSE of Lata, Solomon Islands",earthquake,8.74,3.861,0.066,22.0,reviewed,us,us,earthquake
1718633111,-19.0028,-172.7827,10.0,5.6,mww,161.0,55.0,2.702,0.91,us,us7000mt0e,2024-06-27T16:46:13.471Z,"132 km ESE of Neiafu, Tonga",earthquake,9.65,1.763,0.08,15.0,reviewed,us,us,earthquake
1718613635,-3.3962,148.8276,10.0,5.3,mww,43.0,95.0,6.195,0.81,us,us7000msyi,2024-06-17T09:16:12.040Z,"229 km SE of Lorengau, Papua New Guinea",earthquake,10.29,1.884,0.06,27.0,reviewed,us,us,earthquake
1718549252,-15.8466,-74.419,23.344,6.0,mww,116.0,65.0,4.5,0.9,us,us7000mstj,2024-06-30T21:09:53.091Z,"8 km SW of Atiquipa, Peru",earthquake,8.25,3.171,0.053,34.0,reviewed,us,us,earthquake
1718497677,-61.0037,154.1287,10.834,6.0,mww,40.0,96.0,7.011,0.8,us,us7000msqt,2024-06-28T05:34:28.070Z,Balleny Islands region,earthquake,12.03,4.074,0.049,40.0,reviewed,us,us,earthquake
1718476683,-40.5596,78.1145,10.0,5.5,mww,100.0,30.0,10.416,0.7,us,us7000mspm,2024-06-17T12:38:42.040Z,Mid-Indian Ridge,earthquake,9.72,1.826,0.103,9.0,reviewed,us,us,earthquake
1718473841,-55.8044,-28.1744,13.505,5.4,mb,100.0,40.0,5.018,0.72,us,us7000msph,2024-06-16T17:55:19.438Z,South Sandwich Islands region,earthquake,8.99,3.992,0.058,100.0,reviewed,us,us,earthquake
1718456893,3.1669,127.3039,38.415,5.6,mww,115.0,35.0,6.829,0.86,us,us7000msn7,2024-06-30T19:21:54.065Z,"177 km NNW of Tobelo, Indonesia",earthquake,9.27,4.513,0.078,16.0,reviewed,us,us,earthquake
1718358717,-31.1972,-13.3447,10.0,5.9,mww,157.0,56.0,5.918,0.53,us,us7000msc3,2024-06-15T09:55:48.576Z,southern Mid-Atlantic Ridge,earthquake,9.19,1.841,0.086,13.0,reviewed,us,us,earthquake
1718357374,-30.793,-13.7184,10.0,5.4,mb,45.0,109.0,16.468,0.79,us,us7000msc1,2024-06-15T09:32:39.773Z,southern Mid-Atlantic Ridge,earthquake,13.62,1.911,0.09,42.0,reviewed,us,us,earthquake
1718357292,-31.2473,-13.4676,10.0,5.3,mb,32.0,79.0,5.884,0.76,us,us7000msbz,2024-06-14T09:46:33.040Z,southern Mid-Atlantic Ridge,earthquake,9.02,1.622,0.11,28.0,reviewed,us,us,earthquake
1718339208,-30.9154,-13.4724,10.0,5.9,mww,84.0,56.0,6.212,0.7,us,us7000msb0,2024-06-15T04:29:52.960Z,southern Mid-Atlantic Ridge,earthquake,10.0,1.852,0.078,16.0,reviewed,us,us,earthquake
1718318809,-8.7047,-76.0218,10.0,5.0,mb,84.0,72.0,2.82,0.77,us,us7000ms9k,2024-06-28T01:43:14.526Z,"55 km ESE of Uchiza, Peru",earthquake,8.65,1.806,0.036,244.0,reviewed,us,us,earthquake
1718298773,-22.7636,-176.6699,124.612,5.1,mww,75.0,62.0,2.104,0.71,us,us7000ms7h,2024-06-30T14:42:17.040Z,"226 km SW of Houma, Tonga",earthquake,9.52,5.271,0.086,13.0,reviewed,us,us,earthquake
1718274187,12.6133,144.2362,29.917,5.1,mb,76.0,39.0,1.149,1.08,us,us7000ms3s,2024-06-29T10:33:20.590Z,"86 km SSW of Merizo Village, Guam",earthquake,9.17,5.198,0.04,203.0,reviewed,us,us,earthquake
1718252006,-18.936,-172.7715,10.0,5.0,mb,43.0,79.0,2.695,1.28,us,us7000ms2f,2024-06-28T05:21:04.040Z,"131 km ESE of Neiafu, Tonga",earthquake,7.0,1.877,0.106,28.0,reviewed,us,us,earthquake
1718211680,4.3806,126.455,37.976,5.8,mww,218.0,23.0,2.81,0.61,us,us7000mrz8,2024-06-26T19:52:25.744Z,"157 km SE of Sarangani, Philippines",earthquake,7.29,3.492,0.052,35.0,reviewed,us,us,earthquake
1718159155,8.3388,-103.3487,10.0,5.7,mww,99.0,57.0,10.283,0.64,us,us7000mrv4,2024-06-27T04:29:13.438Z,northern East Pacific Rise,earthquake,4.29,1.819,0.045,48.0,reviewed,us,us,earthquake
1718119701,-18.5914,-172.7666,10.0,5.2,mww,82.0,57.0,2.732,1.2,us,us7000mrqb,2024-06-13T15:09:58.040Z,"128 km E of Neiafu, Tonga",earthquake,7.87,1.801,0.075,17.0,reviewed,us,us,earthquake
1718105897,-5.2494,151.2456,117.704,5.2,mww,64.0,77.0,5.013,0.81,us,us7000mrp5,2024-06-11T11:55:18.040Z,"127 km ENE of Kimbe, Papua New Guinea",earthquake,9.64,6.863,0.073,18.0,reviewed,us,us,earthquake
1718104171,-5.2709,151.178,120.47,5.1,mww,76.0,51.0,4.974,0.99,us,us7000mrp4,2024-06-11T12:04:36.040Z,"119 km ENE of Kimbe, Papua New Guinea",earthquake,8.75,6.821,0.086,13.0,reviewed,us,us,earthquake
1718089116,9.4523,119.739,9.9,5.2,mww,83.0,80.0,8.351,0.57,us,us7000mrn5,2024-06-29T11:19:41.618Z,"97 km SE of Caramay, Philippines",earthquake,8.35,3.47,0.073,18.0,reviewed,us,us,earthquake
1718074592,-20.1636,168.5383,10.0,5.2,mww,61.0,83.0,2.641,0.69,us,us7000mrme,2024-06-26T22:42:19.040Z,"103 km SW of Isangel, Vanuatu",earthquake,6.06,1.554,0.103,9.0,reviewed,us,us,earthquake
1718074271,-20.1317,168.6896,10.0,5.1,mww,63.0,56.0,2.727,0.81,us,us7000mrmc,2024-06-26T22:22:22.040Z,"90 km SW of Isangel, Vanuatu",earthquake,5.07,1.746,0.08,15.0,reviewed,us,us,earthquake
1718058884,-8.9539,-108.7735,10.0,5.1,mb,53.0,174.0,29.375,0.73,us,us7000mrl5,2024-06-10T22:53:15.040Z,central East Pacific Rise,earthquake,15.41,1.932,0.031,334.0,reviewed,us,us,earthquake
1717991776,23.6456,122.859,37.552,5.0,mb,55.0,104.0,0.83,0.64,us,us7000mrf2,2024-06-19T04:18:59.060Z,"92 km S of Yonakuni, Japan",earthquake,4.99,5.433,0.055,104.0,reviewed,us,us,earthquake
1717991381,-12.7586,166.7384,139.855,5.2,mww,105.0,27.0,7.436,0.68,us,us7000mrez,2024-06-19T04:00:33.040Z,"151 km NW of Sola, Vanuatu",earthquake,9.55,4.413,0.062,25.0,reviewed,us,us,earthquake
1717991054,-18.7432,65.1656,10.0,5.0,mb,76.0,59.0,1.973,0.73,us,us7000mrf1,2024-06-19T03:04:28.601Z,"211 km ENE of Port Mathurin, Mauritius",earthquake,9.75,1.78,0.075,57.0,reviewed,us,us,earthquake
1717950518,-5.4569,154.0688,125.0,5.7,mww,120.0,36.0,7.044,0.82,us,us7000mrdc,2024-06-23T00:29:03.598Z,"183 km WNW of Panguna, Papua New Guinea",earthquake,8.92,1.888,0.043,53.0,reviewed,us,us,earthquake
1717932462,-53.9214,-134.1183,10.0,5.0,mb,34.0,97.0,32.502,0.52,us,us7000mrcd,2024-06-23T06:20:54.040Z,Pacific-Antarctic Ridge,earthquake,6.86,1.861,0.077,54.0,reviewed,us,us,earthquake
1717928275,-53.8417,-134.0696,10.0,5.1,mb,45.0,106.0,32.587,0.43,us,us7000mrbx,2024-06-23T05:53:25.040Z,Pacific-Antarctic Ridge,earthquake,14.26,1.88,0.061,88.0,reviewed,us,us,earthquake
1717926949,-53.8577,-133.9892,10.0,6.2,mww,107.0,40.0,29.429,1.43,us,us7000mrbr,2024-06-10T10:04:18.975Z,Pacific-Antarctic Ridge,earthquake,4.7,1.741,0.062,25.0,reviewed,us,us,earthquake
1717926483,-54.4004,-133.0913,10.0,5.3,mb,42.0,94.0,31.296,0.85,us,us7000mrbq,2024-06-22T12:36:27.040Z,Pacific-Antarctic Ridge,earthquake,13.08,1.887,0.05,137.0,reviewed,us,us,earthquake
1717926336,-54.1954,-133.8022,16.507,5.0,mb,24.0,127.0,32.315,0.19,us,us7000msfd,2024-06-22T08:56:05.040Z,Pacific-Antarctic Ridge,earthquake,16.04,4.948,0.121,22.0,reviewed,us,us,earthquake
1717788286,-17.9372,-175.1038,192.893,5.1,mww,135.0,54.0,5.041,0.67,us,us7000mr28,2024-06-08T18:25:09.040Z,"142 km NW of Neiafu, Tonga",earthquake,10.2,4.962,0.103,9.0,reviewed,us,us,earthquake
1717779811,-54.0587,-2.4703,10.0,5.4,mb,125.0,33.0,17.68,0.49,us,us7000mr1a,2024-06-08T18:08:06.529Z,southern Mid-Atlantic Ridge,earthquake,10.67,1.743,0.057,109.0,reviewed,us,us,earthquake
1717779434,-54.0126,-2.5453,10.0,5.4,mb,128.0,24.0,17.726,0.57,us,us7000mr18,2024-06-22T23:32:19.887Z,southern Mid-Atlantic Ridge,earthquake,10.79,1.742,0.056,108.0,reviewed,us,us,earthquake
1717777864,-2.9917,139.2262,37.908,5.3,mww,201.0,17.0,1.549,0.64,us,us7000mr12,2024-06-22T21:42:34.040Z,"162 km WSW of Abepura, Indonesia",earthquake,6.8,4.161,0.083,14.0,reviewed,us,us,earthquake
1717734769,-55.1752,-28.8667,18.308,5.0,mb,42.0,66.0,4.507,0.83,us,us7000mqvy,2024-06-27T22:16:40.040Z,South Sandwich Islands region,earthquake,11.96,1.5,0.081,49.0,reviewed,us,us,earthquake
