GRB Name,ra,dec,Start Time Observation,End Time Observation,Trigger Time,reliability,geo_long,geo_lat,Normalised Duration,source
GRB120403857,55.3384,-89.0093,1333485102.811016,1333485717.221121,1333485238.49304,1.0,311.2612,10.1041,614.4101049900055,fermi_grb
GRB120227725,256.73,-88.86,1330363347.420426,1330363961.829646,1330363481.054342,1.0,156.133,15.75,614.4092202186584,fermi_grb
GRB230524357,13.08,-87.77,1684917133.269793,1684917616.605534,1684917271.511932,1.0,247.4167,-25.05,483.3357410430908,fermi_grb
GRB141205018,294.61,-87.58,1417738998.7385,1417739604.956134,1417739129.812583,1.0,42.3667,-20.5,606.2176339626312,fermi_grb
GRB180630467,48.9589,-87.4785,1530356977.699153,1530357592.110184,1530357114.405473,1.0,108.1833,-23.5,614.4110310077667,fermi_grb
GRB170116238,72.94,-87.43,1484545263.160984,1484545877.572136,1484545395.259242,1.0,142.5333,12.0333,614.4111518859863,fermi_grb
GRB091026550,276.573,-86.1115,1256562578.329901,1256563168.163717,1256562693.019603,1.0,324.3373,7.7344,589.8338160514832,fermi_grb
GRB230428381,121.75,-86.06,1682672806.052434,1682673420.46435,1682672938.150853,0.7373,48.9667,-18.7333,614.4119160175323,fermi_grb
GRB150312403,285.49,-86.0,1426153112.839597,1426153727.249703,1426153245.705704,1.0,229.95,-19.5,614.4101059436798,fermi_grb
GRB110520302,71.01,-85.93,1305875531.066389,1305876145.476897,1305875666.236567,1.0,200.8687,-24.8091,614.4105079174042,fermi_grb
GRB121216419,13.88,-85.44,1355652061.27992,1355652323.428246,1355652196.450138,1.0,,,262.148325920105,fermi_grb
GRB200107810,107.066,-83.716,1578425047.635587,1578425662.048347,1578425182.806288,1.0,92.5667,4.8833,614.4127600193024,fermi_grb
GRB240119729,152.67,-83.61,1705685210.625556,1705685825.038518,1705685347.684318,0.5922,280.05,14.7,614.4129619598389,fermi_grb
GRB101227195,186.79,-83.55,1293424785.707746,1293425310.004038,1293424828.716284,1.0,356.1345,-9.9953,524.2962920665741,fermi_grb
GRB220430900,9.01,-83.38,1651354421.555923,1651355035.968523,1651354559.798585,1.0,194.1333,-23.6833,614.4126000404358,fermi_grb
GRB200607921,41.33,-83.33,1591567454.334153,1591568068.747437,1591567591.424941,0.9647,228.2,-23.9667,614.4132840633392,fermi_grb
GRB160326062,188.15,-82.69,1458955620.100433,1458956234.509934,1458955756.294383,1.0,80.8333,23.4667,614.409500837326,fermi_grb
GRB230426853,38.53,-82.4,1682540802.748311,1682541417.157812,1682540939.966275,0.8549,191.6167,6.65,614.4095010757446,fermi_grb
GRB231129799,11.91,-81.636,1701284879.647918,1701285494.061886,1701285018.11496,1.0,134.2333,-6.1333,614.4139680862427,fermi_grb
GRB220413167,249.08,-81.55,1649822326.665281,1649822941.075024,1649822464.779398,1.0,350.0333,-0.1167,614.4097428321838,fermi_grb
GRB101116481,32.0,-81.2,1289907011.022779,1289907625.433649,1289907146.73703,1.0,167.1657,-23.0435,614.4108700752258,fermi_grb
GRB220921473,94.33,-80.59,1663759153.365675,1663759759.583066,1663759284.439637,1.0,238.35,1.3333,606.2173910140991,fermi_grb
GRB170130697,296.39,-80.45,1485794460.173607,1485795074.584195,1485794593.295757,1.0,192.35,-2.7,614.4105877876282,fermi_grb
GRB110205027,359.73,-80.44,1296866209.99268,1296866824.402182,1296866344.65073,1.0,44.6795,-25.4401,614.409502029419,fermi_grb
GRB110825265,251.31,-80.28,1314253194.22064,1314253808.630826,1314253331.438765,1.0,113.6174,-2.4236,614.4101860523224,fermi_grb
GRB240421224,314.19,-80.23,1713676788.826999,1713677395.045155,1713676919.901082,0.9608,129.1333,0.2333,606.2181560993195,fermi_grb
GRB160919613,266.15,-80.21,1474296070.307797,1474296676.524867,1474296201.637642,1.0,230.25,18.8333,606.2170701026917,fermi_grb
GRB120830212,337.87,-80.04,1346302953.990005,1346303568.400432,1346303092.744271,1.0,222.1691,-25.509,614.4104270935059,fermi_grb
GRB140323433,356.959,-79.905,1395570039.485438,1395570653.896751,1395570173.119716,1.0,92.65,-18.6333,614.4113128185272,fermi_grb
GRB220415645,298.38,-79.82,1650036402.721904,1650037017.132533,1650036539.684147,1.0,352.8167,-6.5167,614.4106290340424,fermi_grb
