Trigger Time,Type,Sigma,Normalised Duration,Max Count,source
1035707631,,-1.0,,-1.0,integral
1039058198,,-1.0,,-1.0,integral
1039871128,,-1.0,,-1.0,integral
1039871780,,-1.0,,-1.0,integral
1039872927,,-1.0,,-1.0,integral
1039877087,,-1.0,,-1.0,integral
1039885274,,-1.0,,-1.0,integral
1039892359,,-1.0,,-1.0,integral
1039894159,,-1.0,,-1.0,integral
1039894163,,-1.0,,-1.0,integral
1039896311,,-1.0,,-1.0,integral
1039900684,,-1.0,,-1.0,integral
1039901973,,-1.0,,-1.0,integral
1039902196,,-1.0,,-1.0,integral
1039961186,,-1.0,,-1.0,integral
1039961186,,-1.0,,-1.0,integral
1039967175,,-1.0,,-1.0,integral
1039974983,,-1.0,,-1.0,integral
1039976706,,-1.0,,-1.0,integral
1039987829,,-1.0,,-1.0,integral
1039989386,,-1.0,,-1.0,integral
1040005548,,-1.0,,-1.0,integral
1040006113,,-1.0,,-1.0,integral
1040007496,,-1.0,,-1.0,integral
1040021402,,-1.0,,-1.0,integral
1040038791,,-1.0,,-1.0,integral
1040038791,,-1.0,,-1.0,integral
1040060124,,-1.0,,-1.0,integral
1040060124,,-1.0,,-1.0,integral
1040060693,,-1.0,,-1.0,integral
1040065774,,-1.0,,-1.0,integral
1040096739,,-1.0,,-1.0,integral
1040097242,,-1.0,,-1.0,integral
1040104140,,-1.0,,-1.0,integral
1040113072,,-1.0,,-1.0,integral
1040113072,,-1.0,,-1.0,integral
1040113072,,-1.0,,-1.0,integral
1040113074,,-1.0,,-1.0,integral
1040120226,,-1.0,,-1.0,integral
1040121151,,-1.0,,-1.0,integral
1040123605,,-1.0,,-1.0,integral
1040125719,,-1.0,,-1.0,integral
1040137329,,-1.0,,-1.0,integral
1040141321,,-1.0,,-1.0,integral
1040147237,,-1.0,,-1.0,integral
1040155223,,-1.0,,-1.0,integral
1040159381,,-1.0,,-1.0,integral
1040160769,,-1.0,,-1.0,integral
1040200167,,-1.0,,-1.0,integral
1040200167,,-1.0,,-1.0,integral
1040200172,,-1.0,,-1.0,integral
1040200192,,-1.0,,-1.0,integral
1040201385,,-1.0,,-1.0,integral
1040206644,,-1.0,,-1.0,integral
1040214164,,-1.0,,-1.0,integral
1040231110,,-1.0,,-1.0,integral
1040232735,,-1.0,,-1.0,integral
1040232735,,-1.0,,-1.0,integral
1040255157,,-1.0,,-1.0,integral
1040273010,,-1.0,,-1.0,integral
1040283237,,-1.0,,-1.0,integral
1040285633,,-1.0,,-1.0,integral
1040305199,,-1.0,,-1.0,integral
1040327157,,-1.0,,-1.0,integral
1040338134,,-1.0,,-1.0,integral
1040338152,,-1.0,,-1.0,integral
1040338154,,-1.0,,-1.0,integral
1040341739,,-1.0,,-1.0,integral
1040353487,,-1.0,,-1.0,integral
1040355622,,-1.0,,-1.0,integral
1040377687,,-1.0,,-1.0,integral
