,,,Region,Start,Maximum,End,
1,M1.56,1996/11/29,7999,20:16,20:44,20:55,https://www.spaceweatherlive.com/en/archive/1996/11/29/xray.html
2,M1.13,1996/11/30,7999,20:32,21:03,21:30,https://www.spaceweatherlive.com/en/archive/1996/11/30/xray.html
3,M1.05,1996/11/25,7999,00:11,00:19,00:31,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
4,C7.79,1996/11/25,7999,18:24,18:35,19:06,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
5,C6.83,1996/12/01,7999,20:47,20:55,21:07,https://www.spaceweatherlive.com/en/archive/1996/12/01/xray.html
6,C6.66,1996/11/25,7999,13:08,13:13,13:19,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
7,C6.06,1996/08/22,-,08:50,10:03,11:06,https://www.spaceweatherlive.com/en/archive/1996/08/22/xray.html
8,C4.81,1996/11/24,-,16:29,16:47,17:02,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
9,C4.69,1996/08/22,-,08:05,08:45,08:52,https://www.spaceweatherlive.com/en/archive/1996/08/22/xray.html
10,C3.89,1996/12/02,7999,14:21,14:34,14:38,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
11,C3.89,1996/12/16,-,12:22,12:29,12:36,https://www.spaceweatherlive.com/en/archive/1996/12/16/xray.html
12,C3.73,1996/11/24,7999,17:31,17:47,17:59,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
13,C3.24,1996/11/25,-,05:12,05:19,05:25,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
14,C3.06,1996/12/19,8005,15:21,15:56,16:18,https://www.spaceweatherlive.com/en/archive/1996/12/19/xray.html
15,C3.01,1996/12/24,-,13:03,13:11,13:23,https://www.spaceweatherlive.com/en/archive/1996/12/24/xray.html
16,C2.69,1996/11/24,-,06:57,07:19,07:24,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
17,C2.57,1996/11/25,7997,12:22,12:25,12:27,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
18,C2.4,1996/11/24,7999,20:00,20:04,20:06,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
19,C2.39,1996/11/25,-,02:40,02:46,02:50,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
20,C2.29,1996/11/25,-,11:09,11:13,11:19,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
21,C2.21,1996/08/22,-,07:34,07:50,07:56,https://www.spaceweatherlive.com/en/archive/1996/08/22/xray.html
22,C2.16,1996/12/02,-,01:32,01:37,01:41,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
23,C2.14,1996/11/26,7999,12:59,13:39,13:56,https://www.spaceweatherlive.com/en/archive/1996/11/26/xray.html
24,C2.07,1996/12/02,7999,17:32,17:39,17:45,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
25,C2.06,1996/08/06,-,19:10,22:01,22:43,https://www.spaceweatherlive.com/en/archive/1996/08/06/xray.html
26,C2.04,1996/11/24,-,22:19,22:22,22:26,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
27,C2.04,1996/12/01,7999,20:17,20:28,20:46,https://www.spaceweatherlive.com/en/archive/1996/12/01/xray.html
28,C2,1996/08/28,-,08:00,08:06,08:10,https://www.spaceweatherlive.com/en/archive/1996/08/28/xray.html
29,C1.99,1996/11/25,-,09:04,09:11,09:23,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
30,C1.91,1996/11/25,-,07:07,07:13,07:20,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
31,C1.9,1996/11/24,-,05:40,06:10,06:17,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
32,C1.87,1996/11/28,-,15:35,17:32,19:02,https://www.spaceweatherlive.com/en/archive/1996/11/28/xray.html
33,C1.83,1996/11/25,7999,00:55,00:58,01:02,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
34,C1.8,1996/08/23,-,07:14,07:21,07:30,https://www.spaceweatherlive.com/en/archive/1996/08/23/xray.html
35,C1.76,1996/11/24,7999,19:25,19:34,19:49,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
36,C1.67,1996/11/25,-,04:05,04:10,04:13,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
37,C1.66,1996/12/02,7999,23:43,23:53,23:59,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
38,C1.59,1996/11/28,7999,12:31,12:43,12:58,https://www.spaceweatherlive.com/en/archive/1996/11/28/xray.html
39,C1.57,1996/12/02,-,01:05,01:13,01:19,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
40,C1.51,1996/12/11,-,18:13,18:21,18:27,https://www.spaceweatherlive.com/en/archive/1996/12/11/xray.html
41,C1.5,1996/11/25,-,08:17,08:25,08:29,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
42,C1.49,1996/11/24,7999,21:05,21:13,21:19,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
43,C1.49,1996/11/30,7999,17:09,17:17,17:24,https://www.spaceweatherlive.com/en/archive/1996/11/30/xray.html
44,C1.41,1996/11/25,-,13:46,14:04,14:08,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
45,C1.36,1996/11/23,-,15:36,15:46,15:55,https://www.spaceweatherlive.com/en/archive/1996/11/23/xray.html
46,C1.34,1996/08/25,7986,12:10,12:36,12:39,https://www.spaceweatherlive.com/en/archive/1996/08/25/xray.html
47,C1.31,1996/08/07,-,23:16,23:20,23:24,https://www.spaceweatherlive.com/en/archive/1996/08/07/xray.html
48,C1.31,1996/11/25,7999,15:28,15:39,15:43,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
49,C1.27,1996/12/11,-,01:18,01:27,01:32,https://www.spaceweatherlive.com/en/archive/1996/12/11/xray.html
50,C1.22,1996/11/30,-,15:28,15:34,15:40,https://www.spaceweatherlive.com/en/archive/1996/11/30/xray.html
1,X12.97,1997/11/06,8100,11:49,11:55,12:01,https://www.spaceweatherlive.com/en/archive/1997/11/06/xray.html
2,X3.69,1997/11/27,8113,12:59,13:17,13:20,https://www.spaceweatherlive.com/en/archive/1997/11/27/xray.html
3,X2.91,1997/11/04,8100,05:52,05:58,06:02,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
4,M9.31,1997/11/28,8113,04:53,05:03,05:23,https://www.spaceweatherlive.com/en/archive/1997/11/28/xray.html
5,M8.67,1997/11/29,8113,22:28,22:44,22:53,https://www.spaceweatherlive.com/en/archive/1997/11/29/xray.html
6,M8.14,1997/09/24,8088,02:43,02:48,02:52,https://www.spaceweatherlive.com/en/archive/1997/09/24/xray.html
7,M5.67,1997/11/03,-,10:18,10:29,10:34,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
8,M5.51,1997/11/04,8100,02:32,02:42,03:03,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
9,M4.1,1997/09/24,8088,10:57,11:06,11:10,https://www.spaceweatherlive.com/en/archive/1997/09/24/xray.html
10,M2.86,1997/11/26,8113,18:31,18:37,18:40,https://www.spaceweatherlive.com/en/archive/1997/11/26/xray.html
11,M2.26,1997/09/17,8084,11:35,11:43,11:52,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
12,M2.11,1997/11/24,-,19:30,19:50,20:10,https://www.spaceweatherlive.com/en/archive/1997/11/24/xray.html
13,M1.96,1997/11/03,8100,09:03,09:10,09:13,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
14,M1.93,1997/08/29,-,22:56,23:32,23:54,https://www.spaceweatherlive.com/en/archive/1997/08/29/xray.html
15,M1.74,1997/11/04,8100,01:27,01:35,01:40,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
16,M1.73,1997/05/21,8040,20:03,20:15,20:27,https://www.spaceweatherlive.com/en/archive/1997/05/21/xray.html
17,M1.6,1997/12/01,8113,02:32,02:37,02:47,https://www.spaceweatherlive.com/en/archive/1997/12/01/xray.html
18,M1.49,1997/09/02,8076,12:25,12:30,12:34,https://www.spaceweatherlive.com/en/archive/1997/09/02/xray.html
19,M1.46,1997/11/28,-,19:54,20:09,20:17,https://www.spaceweatherlive.com/en/archive/1997/11/28/xray.html
20,M1.43,1997/11/15,8108,22:31,22:46,23:10,https://www.spaceweatherlive.com/en/archive/1997/11/15/xray.html
21,M1.36,1997/09/08,8083,19:27,19:40,19:48,https://www.spaceweatherlive.com/en/archive/1997/09/08/xray.html
22,M1.35,1997/09/17,8084,17:45,18:03,18:27,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
23,M1.34,1997/11/03,8100,19:55,20:16,20:36,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
24,M1.3,1997/09/09,8085,09:45,09:53,10:03,https://www.spaceweatherlive.com/en/archive/1997/09/09/xray.html
25,M1.22,1997/11/25,-,19:36,19:52,19:59,https://www.spaceweatherlive.com/en/archive/1997/11/25/xray.html
26,M1.18,1997/09/19,8085,01:39,01:50,01:53,https://www.spaceweatherlive.com/en/archive/1997/09/19/xray.html
27,M1.15,1997/11/04,-,06:27,06:30,06:32,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
28,M1.14,1997/11/17,-,14:56,15:10,15:17,https://www.spaceweatherlive.com/en/archive/1997/11/17/xray.html
29,M1.14,1997/11/03,8100,04:32,04:38,04:49,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
30,M1.13,1997/11/03,8100,22:16,22:24,22:32,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
31,M1.13,1997/08/09,8069,16:30,16:34,16:38,https://www.spaceweatherlive.com/en/archive/1997/08/09/xray.html
32,M1.1,1997/09/24,8088,18:24,18:34,18:45,https://www.spaceweatherlive.com/en/archive/1997/09/24/xray.html
33,M1.07,1997/11/05,-,10:00,10:06,10:12,https://www.spaceweatherlive.com/en/archive/1997/11/05/xray.html
34,M1.06,1997/11/04,-,04:12,04:16,04:19,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
35,M1.06,1997/11/03,-,22:58,23:02,23:07,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
36,C9.69,1997/09/25,8088,11:40,11:49,11:55,https://www.spaceweatherlive.com/en/archive/1997/09/25/xray.html
37,C9.66,1997/11/04,-,06:37,06:40,06:44,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
38,C9.27,1997/12/21,-,03:41,03:54,04:07,https://www.spaceweatherlive.com/en/archive/1997/12/21/xray.html
39,C9.27,1997/11/05,8100,06:17,06:41,06:56,https://www.spaceweatherlive.com/en/archive/1997/11/05/xray.html
40,C9.23,1997/09/17,-,22:39,22:51,22:58,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
41,C9.01,1997/04/07,8027,13:50,14:07,14:19,https://www.spaceweatherlive.com/en/archive/1997/04/07/xray.html
42,C8.96,1997/11/05,-,11:30,11:40,11:55,https://www.spaceweatherlive.com/en/archive/1997/11/05/xray.html
43,C8.74,1997/12/01,8113,13:23,13:31,13:35,https://www.spaceweatherlive.com/en/archive/1997/12/01/xray.html
44,C8.64,1997/12/22,8124,15:17,15:41,15:58,https://www.spaceweatherlive.com/en/archive/1997/12/22/xray.html
45,C7.9,1997/10/28,8100,12:51,12:56,13:00,https://www.spaceweatherlive.com/en/archive/1997/10/28/xray.html
