Top,Flux,Region,Start,Trigger Time,Links,
1,M1.56,7999,849298560,849300240,849300900,https://www.spaceweatherlive.com/en/archive/1996/11/29/xray.html
2,M1.13,7999,849385920,849387780,849389400,https://www.spaceweatherlive.com/en/archive/1996/11/30/xray.html
3,M1.05,7999,848880660,848881140,848881860,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
4,C7.79,7999,848946240,848946900,848948760,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
5,C6.83,7999,849473220,849473700,849474420,https://www.spaceweatherlive.com/en/archive/1996/12/01/xray.html
6,C6.66,7999,848927280,848927580,848927940,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
7,C6.06,-,840703800,840708180,840711960,https://www.spaceweatherlive.com/en/archive/1996/08/22/xray.html
8,C4.81,-,848852940,848854020,848854920,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
9,C4.69,-,840701100,840703500,840703920,https://www.spaceweatherlive.com/en/archive/1996/08/22/xray.html
10,C3.89,7999,849536460,849537240,849537480,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
11,C3.89,-,850738920,850739340,850739760,https://www.spaceweatherlive.com/en/archive/1996/12/16/xray.html
12,C3.73,7999,848856660,848857620,848858340,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
13,C3.24,-,848898720,848899140,848899500,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
14,C3.06,8005,851008860,851010960,851012280,https://www.spaceweatherlive.com/en/archive/1996/12/19/xray.html
15,C3.01,-,851432580,851433060,851433780,https://www.spaceweatherlive.com/en/archive/1996/12/24/xray.html
16,C2.69,-,848818620,848819940,848820240,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
17,C2.57,7997,848924520,848924700,848924820,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
18,C2.4,7999,848865600,848865840,848865960,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
19,C2.39,-,848889600,848889960,848890200,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
20,C2.29,-,848920140,848920380,848920740,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
21,C2.21,-,840699240,840700200,840700560,https://www.spaceweatherlive.com/en/archive/1996/08/22/xray.html
22,C2.16,-,849490320,849490620,849490860,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
23,C2.14,7999,849013140,849015540,849016560,https://www.spaceweatherlive.com/en/archive/1996/11/26/xray.html
24,C2.07,7999,849547920,849548340,849548700,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
25,C2.06,-,839358600,839368860,839371380,https://www.spaceweatherlive.com/en/archive/1996/08/06/xray.html
26,C2.04,-,848873940,848874120,848874360,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
27,C2.04,7999,849471420,849472080,849473160,https://www.spaceweatherlive.com/en/archive/1996/12/01/xray.html
28,C2,-,841219200,841219560,841219800,https://www.spaceweatherlive.com/en/archive/1996/08/28/xray.html
29,C1.99,-,848912640,848913060,848913780,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
30,C1.91,-,848905620,848905980,848906400,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
31,C1.9,-,848814000,848815800,848816220,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
32,C1.87,-,849195300,849202320,849207720,https://www.spaceweatherlive.com/en/archive/1996/11/28/xray.html
33,C1.83,7999,848883300,848883480,848883720,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
34,C1.8,-,840784440,840784860,840785400,https://www.spaceweatherlive.com/en/archive/1996/08/23/xray.html
35,C1.76,7999,848863500,848864040,848864940,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
36,C1.67,-,848894700,848895000,848895180,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
37,C1.66,7999,849570180,849570780,849571140,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
38,C1.59,7999,849184260,849184980,849185880,https://www.spaceweatherlive.com/en/archive/1996/11/28/xray.html
39,C1.57,-,849488700,849489180,849489540,https://www.spaceweatherlive.com/en/archive/1996/12/02/xray.html
40,C1.51,-,850327980,850328460,850328820,https://www.spaceweatherlive.com/en/archive/1996/12/11/xray.html
41,C1.5,-,848909820,848910300,848910540,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
42,C1.49,7999,848869500,848869980,848870340,https://www.spaceweatherlive.com/en/archive/1996/11/24/xray.html
43,C1.49,7999,849373740,849374220,849374640,https://www.spaceweatherlive.com/en/archive/1996/11/30/xray.html
44,C1.41,-,848929560,848930640,848930880,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
45,C1.36,-,848763360,848763960,848764500,https://www.spaceweatherlive.com/en/archive/1996/11/23/xray.html
46,C1.34,7986,840975000,840976560,840976740,https://www.spaceweatherlive.com/en/archive/1996/08/25/xray.html
47,C1.31,-,839459760,839460000,839460240,https://www.spaceweatherlive.com/en/archive/1996/08/07/xray.html
48,C1.31,7999,848935680,848936340,848936580,https://www.spaceweatherlive.com/en/archive/1996/11/25/xray.html
49,C1.27,-,850267080,850267620,850267920,https://www.spaceweatherlive.com/en/archive/1996/12/11/xray.html
50,C1.22,-,849367680,849368040,849368400,https://www.spaceweatherlive.com/en/archive/1996/11/30/xray.html
1,X12.97,8100,878816940,878817300,878817660,https://www.spaceweatherlive.com/en/archive/1997/11/06/xray.html
2,X3.69,8113,880635540,880636620,880636800,https://www.spaceweatherlive.com/en/archive/1997/11/27/xray.html
3,X2.91,8100,878622720,878623080,878623320,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
4,M9.31,8113,880692780,880693380,880694580,https://www.spaceweatherlive.com/en/archive/1997/11/28/xray.html
5,M8.67,8113,880842480,880843440,880843980,https://www.spaceweatherlive.com/en/archive/1997/11/29/xray.html
6,M8.14,8088,875068980,875069280,875069520,https://www.spaceweatherlive.com/en/archive/1997/09/24/xray.html
7,M5.67,-,878552280,878552940,878553240,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
8,M5.51,8100,878610720,878611320,878612580,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
9,M4.1,8088,875098620,875099160,875099400,https://www.spaceweatherlive.com/en/archive/1997/09/24/xray.html
10,M2.86,8113,880569060,880569420,880569600,https://www.spaceweatherlive.com/en/archive/1997/11/26/xray.html
11,M2.26,8084,874496100,874496580,874497120,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
12,M2.11,-,880399800,880401000,880402200,https://www.spaceweatherlive.com/en/archive/1997/11/24/xray.html
13,M1.96,8100,878547780,878548200,878548380,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
14,M1.93,-,872895360,872897520,872898840,https://www.spaceweatherlive.com/en/archive/1997/08/29/xray.html
15,M1.74,8100,878606820,878607300,878607600,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
16,M1.73,8040,864244980,864245700,864246420,https://www.spaceweatherlive.com/en/archive/1997/05/21/xray.html
17,M1.6,8113,880943520,880943820,880944420,https://www.spaceweatherlive.com/en/archive/1997/12/01/xray.html
18,M1.49,8076,873203100,873203400,873203640,https://www.spaceweatherlive.com/en/archive/1997/09/02/xray.html
19,M1.46,-,880746840,880747740,880748220,https://www.spaceweatherlive.com/en/archive/1997/11/28/xray.html
20,M1.43,8108,879633060,879633960,879635400,https://www.spaceweatherlive.com/en/archive/1997/11/15/xray.html
21,M1.36,8083,873746820,873747600,873748080,https://www.spaceweatherlive.com/en/archive/1997/09/08/xray.html
22,M1.35,8084,874518300,874519380,874520820,https://www.spaceweatherlive.com/en/archive/1997/09/17/xray.html
23,M1.34,8100,878586900,878588160,878589360,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
24,M1.3,8085,873798300,873798780,873799380,https://www.spaceweatherlive.com/en/archive/1997/09/09/xray.html
25,M1.22,-,880486560,880487520,880487940,https://www.spaceweatherlive.com/en/archive/1997/11/25/xray.html
26,M1.18,8085,874633140,874633800,874633980,https://www.spaceweatherlive.com/en/archive/1997/09/19/xray.html
27,M1.15,-,878624820,878625000,878625120,https://www.spaceweatherlive.com/en/archive/1997/11/04/xray.html
28,M1.14,-,879778560,879779400,879779820,https://www.spaceweatherlive.com/en/archive/1997/11/17/xray.html
29,M1.14,8100,878531520,878531880,878532540,https://www.spaceweatherlive.com/en/archive/1997/11/03/xray.html
