TGF Name,Ra,Dec,Start Time Observation,End Time Observation,Trigger Time,reliability,GeoLon,GeoLat,Normalised Duration,source
TGF240612910,195.0,-89.4167,1718221663.629086,1718222278.040479,1718221800.607543,1.0,89.35,25.1333,614.4113929271698,fermi_tgf
TGF140912846,44.05,-88.9333,1410545750.499344,1410546364.909087,1410545883.669372,1.0,165.65,25.4333,614.4097428321838,fermi_tgf
TGF140630748,128.7667,-88.45,1404143674.09177,1404144288.500829,1404143808.909626,1.0,349.8,8.0333,614.409059047699,fermi_tgf
TGF170909434,43.85,-86.8667,1504945337.359379,1504945951.77049,1504945469.457637,1.0,112.2167,24.6167,614.4111108779907,fermi_tgf
TGF100911473,176.0,-86.6667,1284196706.283452,1284197320.694683,1284196839.181785,1.0,93.883,24.35,614.4112310409546,fermi_tgf
TGF190105022,304.3,-86.1333,1546644604.835594,1546645219.247711,1546644738.854179,1.0,20.6667,12.7333,614.4121170043945,fermi_tgf
TGF180724548,140.9167,-85.1333,1532430388.014981,1532431002.427098,1532430524.913535,1.0,136.0833,19.9333,614.4121170043945,fermi_tgf
TGF130820401,40.3667,-83.85,1376984092.470807,1376984706.880108,1376984229.97676,1.0,79.9833,23.2167,614.4093010425568,fermi_tgf
TGF201025784,119.017,-83.3,1603647983.410813,1603648597.822045,1603648115.429167,1.0,19.6167,18.2333,614.4112319946289,fermi_tgf
TGF140804347,15.9667,-82.8667,1407133041.910435,1407133656.319414,1407133180.888398,1.0,239.2667,13.7,614.4089789390564,fermi_tgf
TGF180417162,264.4,-82.0,1523929839.235416,1523930453.646487,1523929976.213832,1.0,7.35,1.7667000000000002,614.411071062088,fermi_tgf
TGF200202897,121.8,-81.65,1580675354.962519,1580675969.373469,1580675493.188846,1.0,248.0333,17.0667,614.4109501838684,fermi_tgf
TGF230623782,152.183,-80.8667,1687538637.271714,1687539251.685078,1687538769.610405,1.0,85.05,21.0167,614.4133639335632,fermi_tgf
