GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
240624A;1719201660.0;102.47306:49:53.5;-6.534-06:32:02.4;5.89;4.5+/-0.6;;102.541;-6.599;5.89;swift
240606B;1717673586.0;40.23402:40:56.2;-60.637-60:38:13.2;;;1.682976348;40.261;-61.243;;swift
240603B;1717390663.0;36.05402:24:13;-50.944-50:56:38.4;;;;36.078;-51.453;;swift
240529A;1716944311.0;335.34122:21:21.8;51.55751:33:25.2;160.67;210;2.139887296;335.565;52.073;160.67;swift
240527B;1716811431.0;128.5108:34:02.4;-12.68-12:40:48;;;1.702416874;128.596;-12.807;;swift
240523A;1716468191.0;33.53702:14:08.9;-22.053-22:03:10.8;41.93;11+/-1;2.058192311;33.559;-22.274;41.93;swift
240516A;1715823388.0;212.78414:11:08.2;-63.495-63:29:42;94.69;20+/-2;;212.926;-64.13;94.69;swift
240513A;1715577722.0;163.410:53:36;-27.5-27:30:00;;;0.800226966;163.509;-27.775;;swift
240511A;1715443613.0;336.66922:26:40.6;8.51508:30:54;148.55;106+/-2;2.069509582;336.893;8.6;148.55;swift
240421B;1713685374.0;299.68519:58:44.4;-14.878-14:52:40.8;24.00;64+/-5;1.872692915;299.885;-15.027;24.00;swift
240419B;1713522172.0;325.85321:43:24.7;4.29904:17:56.4;132.16;41+/-2;2.101022454;326.07;4.342;132.16;swift
240419A;1713484081.0;94.50506:18:01.2;-44.964-44:57:50.4;3.00;0.84+/-0.21;2.181482114;94.568;-45.414;3.00;swift
240418A;1713464648.0;239.34215:57:22.1;23.63223:37:55.2;12.00;2.3+/-0.5;2.025607606;239.502;23.868;12.00;swift
240415B;1713143449.0;132.31708:49:16.1;-27.07-27:04:12;;;;132.405;-27.341;;swift
240415A;1713155213.0;129.19708:36:47.3;73.15073:09:00;30.96;16+/-1;2.177685665;129.283;73.882;30.96;swift
240414A;1713054036.0;184.78112:19:07.4;56.73456:44:02.4;88.28;35+/-2;2.047158006;184.904;57.301;88.28;swift
240411B;1712842374.0;231.56215:26:14.9;-2.172-02:10:19.2;33.26;4.9+/-1.2;2.142694627;231.716;-2.194;33.26;swift
240303A;1709443998.0;229.74815:18:59.5;-57.375-57:22:30;;;;229.901;-57.949;;swift
240225B;1708888546.0;128.45808:33:49.9;27.48727:29:13.2;;;2.147346475;128.544;27.762;;swift
240222A;1708588291.0;143.20909:32:50.2;-68.034-68:02:02.4;3.94;2.5+/-0.3;1.480293758;143.304;-68.714;3.94;swift
240218A;1708218000.0;161.81010:47:14.4;1.29501:17:42;66.93;52+/-3;2.025187084;161.918;1.308;66.93;swift
240215A;1708007580.0;132.23708:48:56.9;-6.4058-06:24:20.9;;;2.236219505;132.325;-6.47;;swift
240205B;1707167586.0;351.46623:25:51.8;-55.123-55:07:22.8;47.29;260;;351.7;-55.674;47.29;swift
240204A;1707055670.0;104.29006:57:09.6;1.07801:04:40.8;18.93;100;2.28608484;104.36;1.089;18.93;swift
