GRB Name;Trigger Time;BAT RA;BAT Dec;BAT 90%Error Radius[arcmin];BAT Fluence;BAT Fluence90% Error;BAT 1-sec PeakPhoton Flux;BAT 1-sec PeakPhoton Flux90% Error;BAT Photon Index;BAT Photon Index90% Error;XRT RA;XRT Dec;XRT 90%Error Radius[arcsec];XRT Time to FirstObservation[sec];XRT Early Flux;XRT 11 Hour Flux;XRT 24 Hour Flux;XRT InitialTemporalIndex;XRTSpectral Index;XRT Column Density;UVOT RA;UVOT Dec;UVOT 90%Error Radius[arcsec];UVOT Time toFirst Observation[sec];UVOT Magnitude;UVOT Other FilterMagnitudes;Other Observatory Detections;Redshift;Host Galaxy;References;source
240624A;1719201660.0;102.47306:49:53.5;-6.534-06:32:02.4;1.8;4.5;0.6;2.2;0.3;0.07, CPL;0.94;;;;;;;;;;;;;;;;;Fermi (GBM);;;BAT: GCN 36743, GCN 36769;swift
240606B;1717673586.0;40.23402:40:56.2;-60.637-60:38:13.2;4;;;;;;;02:41:10.82;-60:36:43.2;2.3;22900;;0.132822341;0.052624803;-1.187;1.682976348;0.6691405444;;;;;;;GECAM-B, Fermi (GBM), Konus-Wind;;;BAT: GCN 36628XRT: GCN 36631, Evans et al., 2009, MNRAS, 397, 1177;swift
240603B;1717390663.0;36.05402:24:13.0;-50.944-50:56:38.4;3;;;;;;;;;;;;;;;;;;;;;;;;;;BAT: GCN 36604;swift
240529A;1716944311.0;335.34122:21:21.8;51.55751:33:25.2;1.0;210;;7.7;0.6;1.68, PL;0.04;22:21:25.86;51:33:42.3;1.9;471.2;10;1.0528757;0.24032573;-0.6748;2.139887296;0.00000000000000000212609433;22:21:25.97;51:33:43.0;0.43;128;V=16.16;B=17.44U=18.27UVW1>18.8UVM2>18.7UVW2>19.1White=17.07;GOTO, AstroSat CZTI, NOT (2.56m), BOOTES-6/DPRT (0.6m), Skynet (0.6m), Palomar (1m), AKO (0.36m), GTC (10.4m), OHP (1.93m), GROWTH-India (0.7m), Konkoly RC80, Insight-HXMT/HE, MAAO (0.7m),  SAO RAS (1m), IPN, Konus-Wind, AZT-33IK (Mondy), DFOT (1.3m), OSN (1.5m), MASTER-SAAO, AMI-LA @ 15.5 GHz, NOEMA (3mm band), MITSuME (50cm), LBT, TNG (3.6m);2.695 (GTC: absorption);;BAT: GCN 36556, GCN 36566XRT: GCN 36556, GCN 36557, GCN 36564, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36556, GCN 36562Radio: GCN 36636 (AMI-LA), GCN 36642 (NOEMA)Redshift: GCN 36574 (GTC);swift
240527B;1716811431.0;128.5108:34:02.4;-12.68-12:40:48.0;;;;;;;;08:32:36.93;-14:26:14.6;2.0;27300;;2.01225255;0.80566255;-0.4622;1.702416874;0.567663410538354;;;;;;;;;;XRT: GCN 36558, Evans et al., 2009, MNRAS, 397, 1177;swift
240523A;1716468191.0;33.53702:14:08.9;-22.053-22:03:10.8;1.6;11;1;1.0;0.3;2.07, PL;0.20;02:14:16.31;-22:02:00.2;2.1;147.72;;0.0212886805;0.007404773;-2.762;2.058192311;1.297046446;;;;151;;;;;;BAT: GCN 36536, GCN 36543XRT: GCN 36536, GCN 36537, GCN 36538, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36536;swift
240516A;1715823388.0;212.78414:11:08.2;-63.495-63:29:42.0;1.6;20;2;1.1;0.3;1.09, PL;0.19;14:11:13.70;-63:29:16.1;6.1;142.1;;;;;;;;;;150;V>18.9;U>19.1UVW1>19.1UVM2>18.9White>19.9;AstroSat CZTI;;;BAT: GCN 36493, GCN 36510XRT: GCN 36493, GCN 36502UVOT: GCN 36493, GCN 36517;swift
240513A;1715577722.0;163.410:53:36.0;-27.5-27:30:00.0;;;;;;;;10:53:49.16;-27:24:41.3;5.1;46100;;0.230016698;0.1.56664316;-0.4923;0.800226966;0.703708435087173;;;;;;;;;;XRT: GCN 36478, GCN 36533, Evans et al., 2009, MNRAS, 397, 1177;swift
240511A;1715443613.0;336.66922:26:40.6;8.51508:30:54.0;1.0;106;2;2.6;0.2;1.59, PL;0.04;22:26:42.19;08:30:45.9;2.0;103.20;370;0.17638622;0.08971954;-2.377;2.069509582;1.6681805637;;;;110;;;Fermi (GBM), NOT, AMI-LA @ 15.5 GHz, GTC (10.4m);;;BAT: GCN 36430, GCN 36459XRT: GCN 36430, GCN 36431, GCN 36443, GCN 36446, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36430Radio: GCN 36489 (AMI-LA);swift
240421B;1713685374.0;299.68519:58:44.4;-14.878-14:52:40.8;1.0;64;5;14.1;1.6;0.63, CPL;0.52;19:58:48.21;-14:51:34.9;2.0;126.35;;0.238283205;0.08508012;-0.4962;1.872692915;6.498403536;;;;130;V>18.4;B>19.8U>20.2UVW1>19.4UVW2>18.8White>20.9;Fermi (GBM), AstroSat CZTI, GRBAlpha;;;BAT: GCN 36208, GCN 36291XRT: GCN 36208, GCN 36213, GCN 36217, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36208, GCN 36214;swift
240419B;1713522172.0;325.85321:43:24.7;4.29904:17:56.4;3.3;41;2;2.4;0.2;1.92, PL;0.09;21:43:35.22;04:14:05.4;2.2;148.45;701;0.071683766;0.032835627;-4.084;2.101022454;1.2101953771;;;;159;V>17.3;B>18.6U>19.5UVW1>17.5UVM2>17.2UVW2>17.6White>20.4;NOT;;;BAT: GCN 36180, GCN 36292XRT: GCN 36180, GCN 36186, GCN 36192, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36180, GCN 36197;swift
240419A;1713484081.0;94.50506:18:01.2;-44.964-44:57:50.4;3.0;0.84;0.21;0.6;0.1;1.71, PL;0.38;06:18:08.13;-44:59:58.0;2.0;110.06;;0.022437984;0.008352128;-5.331;2.181482114;112.5228907;;;;113;V>18.6;B>19.3U>20.1UVW1>18.2UVM2>18.3UVW2>18.6White>21.3;VLT, REM (60cm), Skynet (16\");5.178 (VLT: absorption);;BAT: GCN 36169, GCN 36255XRT: GCN 36169, GCN 36170, GCN 36174, GCN 36182, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36169, GCN 36193Redshift: GCN 36176 (VLT);swift
240418A;1713464648.0;239.34215:57:22.1;23.63223:37:55.2;2.3;2.3;0.5;0.5;0.2;1.99, PL;0.31;15:57:30.04;23:35:45.0;3.6;122.25;;0.00000035580025;0.0000000375713;-2.882;2.025607606;0.52579851063347;;;;126;V>19.3;B>20.2U>19.9UVW1>19.7UVM2>19.5White>21.1;;;;BAT: GCN 36162, GCN 36254XRT: GCN 36162, GCN 36166, GCN 36181, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36162, GCN 36184;swift
240415B;1713143449.0;132.31708:49:16.1;-27.07-27:04:12.0;5;;;;;;;;;;;;;;;;;;;;;;;GECAM-B;;;BAT: GCN 36125XRT: GCN 36226;swift
240415A;1713155213.0;129.19708:36:47.3;73.15073:09:00.0;1.1;16;1;4.6;0.4;2.28, PL;0.13;08:36:45.34;73:08:45.8;2.0;3305;;0.18377255;0.0862264;-0.97;2.177685665;2.156789048;;;;3309;V=18.95;B>19.2U=18.96UVW1>19.3UVM2>19.1UVW2>19.5White=19.92;Fermi (GBM), Mondy/AZT-33IK (1.5m), SAO RAS (6m), INAF Asiago, OHP/T193, Lulin (1m), Glowbug;;;BAT: GCN 36108, GCN 36143XRT: GCN 36109, GCN 36128, GCN 36225, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36136;swift
240414A;1713054036.0;184.78112:19:07.4;56.73456:44:02.4;1.8;35;2;1.5;0.2;0.99, CPL;0.36;12:19:08.07;56:44:26.0;3.2;103.18;335;0.0376356;0.0144449604;-1.227;2.047158006;0.3728638003;12:19:08.09;56:44:28.6;0.4;9754;V>19.60;B=19.23U=19.29UVW1=20.04UVM2>20.33UVW2>20.54;OHP (T193cm), GTC (10.4m), Skynet, Mondy/AZT-33IK (1.5m), Fermi (GBM), GMG, Glowbug, LBT, VLA @ 6 and 10 GHz;1.833 (OHP: absorption)1.833 (GTC: absorption);;BAT: GCN 36083, GCN 36140XRT: GCN 36083, GCN 36102, GCN 36104, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36115Radio: GCN 36231 (VLA)Redshift: GCN 36085 (OHP), GCN 36087 (GTC);swift
240411B;1712842374.0;231.56215:26:14.9;-2.172-02:10:19.2;3.3;4.9;1.2;0.9;0.3;1.69, PL;0.41;15:26:10.15;-02:08:47.0;2.5;180;;0.0250921064;0.01285093;-0.8577;2.142694627;1.20145903069;;;;190;V>18.58;B>19.84UVW2>19.45White=20.08;LCO (1m), OHP/T193, DFOT (1.3m), GTC (10.4m), Lulin (1m), CrAO (2.6m);;;BAT: GCN 36063, GCN 36072XRT: GCN 36063, GCN 36065, GCN 36071, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 36063, GCN 36179;swift
240303A;1709443998.0;229.74815:18:59.5;-57.375-57:22:30.0;3;;;;;;;15:18:57.00;-57:21:47.9;4.8;136.7;;;;;;;;;;143;;;;;;BAT: GCN 35849XRT: GCN 35849UVOT: GCN 35849;swift
240225B;1708888546.0;128.45808:33:49.9;27.48727:29:13.2;;;;;;;;08:33:26.78;27:04:33.6;3.9;;;0.5401647;0.23116563;-1.088;2.147346475;1.002309283;;;;;;;;;;XRT: GCN 35810, GCN 35859;swift
240222A;1708588291.0;143.20909:32:50.2;-68.034-68:02:02.4;1.8;2.5;0.3;1.3;0.2;0.75, PL;0.23;09:32:54.10;-68:01:49.7;3.5;94.04;;0.00090574708;0.00023627688;-1.722;1.480293758;1.7159222931468;;;;98;n/aV>18.5;B>19.6U>20.0UVW1>18.3UVM2>18.0UVW2>18.6White>20.9;Fermi (GBM), GECAM, GRBAlpha;;;BAT: GCN 35770, GCN 35781XRT: GCN 35770, GCN 35780, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 35770, GCN 35777;swift
240218A;1708218000.0;161.81010:47:14.4;1.29501:17:42.0;1.3;52;3;3.0;0.3;1.00, CPL;0.32;10:47:11.24;01:16:34.8;4.2;149.45;327;0.18754128;0.10257648;-2.135;2.025187084;44.22321787;;;;158;;;REM (60cm), VLT, Fermi (GBM), Konus-Wind, LBT, VLA @ 9.8 GHz, ACTA @ 5.5 GHz, Chandra, ALMA @ 97.5 GHz;6.782 (VLT: absorption);;BAT: GCN 35742, GCN 35761XRT: GCN 35742, GCN 35748, GCN 35757, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 35742Radio: GCN 35794 (VLA), GCN 35866 (ACTA), GCN 35878 (ALMA)Redshift: GCN 35756 (VLT);swift
240215A;1708007580.0;132.23708:48:56.9;-6.4058-06:24:20.9;3;;;;;;;08:48:2.42;-06:30:35.5;8.1;44500;;;;;2.236219505;0.275795420773;;;;;;;Fermi (GBM);;;BAT: GCN 35733XRT: GCN 35852, Evans et al., 2009, MNRAS, 397, 1177;swift
240205B;1707167586.0;351.46623:25:51.8;-55.123-55:07:22.8;1.0;260;;47.8;1.0;2.23, PL;0.03;;;;;;;;;;;;;;;;;Fermi (GBM), MASTER, BOOTES-7 (0.6m), Skynet (0.4m), GECAM-B, REM (60cm), ATCA @ 9 GHz, BOOTES-6 (0.6m), CALET, VLT, Konus-Wind, AstroSat CZTI, PRIME;0.824 (VLT: absorption);;BAT: GCN 35683, GCN 35702Radio: GCN 35695 (ATCA)Redshift: GCN 35698 (VLT);swift
240204A;1707055670.0;104.29006:57:09.6;1.07801:04:40.8;1.2;100;;22.1;1.5;1.21, CPL;0.28;06:56:43.57;01:01:36.0;2.2;;;0.298886876;0.101777056;-0.4487;2.28608484;9.60772171;;;;4800;V>19.32;B>19.98U>20.54UVW1>19.26UVM2>19.36UVW2>19.42White>20.70;Fermi (GBM), Mondy (AZT-33IK), Montarrenti Observatory (0.53m), LCOGT (1m), Liverpool (2m), OHP/T193/T120, AstroSat CZTI, Konus-Wind;;;BAT: GCN 35666, GCN 35688XRT: GCN 35666, GCN 35671, Evans et al., 2009, MNRAS, 397, 1177UVOT: GCN 35705;swift
