geolon,geolat,orbit,trigger_time,t50(ms),t50_err(ms),t50+/-err(ms),satellite_altitude(km),ml_counts,ml_counts_err,ml_counts+/-err,tgf_name,eventtype,normalised_duration,source,ra,dec,start_time_obs,end_time_obs,reliability
-1.87,0.52,40902.0,1427107374.0,0.086,0.011,8.600e-2+/-1.100e-2,488.97,32.92,5.73,32.92+/-5.73,150323.10425,0.0,0.000172,agile,,,,,
102.09,2.07,40902.0,1427109127.0,0.104,0.015,1.040e-1+/-1.500e-2,501.11,24.0,4.889,24.00+/-4.889,150323.1112,0.0,0.000208,agile,,,,,
-71.93,2.48,40908.0,1427142555.0,0.061,0.009,6.100e-2+/-9.000e-3,500.18,18.0,4.234,18.00+/-4.234,150323.20291,0.0,0.000122,agile,,,,,
119.48,-1.49,40910.0,1427151837.0,0.027,0.005,2.700e-2+/-5.000e-3,481.21,9.97,3.156,9.97+/-3.156,150323.23035,0.0,5.4e-05,agile,,,,,
3.68,-2.1,40912.0,1427174128.0,0.04,0.008,4.000e-2+/-8.000e-3,480.42,12.95,3.595,12.95+/-3.595,150324.05152,0.0,8e-05,agile,,,,,
5.23,-0.18,40916.0,1427186271.0,0.101,0.014,1.010e-1+/-1.400e-2,484.1,26.0,5.087,26.00+/-5.087,150324.08375,0.0,0.000202,agile,,,,,
5.28,0.92,40916.0,1427192332.0,0.108,0.017,1.080e-1+/-1.700e-2,488.05,18.98,4.352,18.98+/-4.352,150324.10185,0.0,0.000216,agile,,,,,
101.0,2.05,40916.0,1427193945.0,0.038,0.008,3.800e-2+/-8.000e-3,501.21,10.98,3.308,10.98+/-3.308,150324.10454,0.0,7.6e-05,agile,,,,,
118.07,1.5,40916.0,1427194233.0,0.067,0.011,6.700e-2+/-1.100e-2,500.85,18.98,4.351,18.98+/-4.351,150324.10503,0.0,0.000134,agile,,,,,
-2.46,1.57,40918.0,1427198261.0,0.107,0.024,1.070e-1+/-2.400e-2,491.02,9.91,3.157,9.91+/-3.157,150324.11574,0.0,0.000214,agile,,,,,
8.24,2.41,40918.0,1427204502.0,0.913,0.14,9.130e-1+/-1.400e-1,497.14,21.0,4.574,21.00+/-4.574,150324.13414,1.0,0.001826,agile,,,,,
137.62,-2.48,40920.0,1427218803.0,0.032,0.007,3.200e-2+/-7.000e-3,483.44,11.99,3.455,11.99+/-3.455,150324.174,0.0,6.4e-05,agile,,,,,
10.6,-2.38,40928.0,1427253023.0,0.175,0.035,1.750e-1+/-3.500e-2,481.97,12.93,3.597,12.93+/-3.597,150325.03102,0.0,0.00035,agile,,,,,
99.58,0.15,40933.0,1427290879.0,0.333,0.054,3.330e-1+/-5.400e-2,499.53,19.01,4.352,19.01+/-4.352,150325.13411,0.0,0.000666,agile,,,,,
-91.43,-0.1,40933.0,1427293720.0,0.072,0.016,7.200e-2+/-1.600e-2,482.02,9.96,3.156,9.96+/-3.156,150325.14284,0.0,0.000144,agile,,,,,
10.46,2.38,40933.0,1427295435.0,0.196,0.032,1.960e-1+/-3.200e-2,498.81,18.99,4.347,18.99+/-4.347,150325.14571,0.0,0.000392,agile,,,,,
112.59,1.57,40945.0,1427363811.0,0.14,0.026,1.400e-1+/-2.600e-2,500.58,14.97,3.866,14.97+/-3.866,150326.09565,0.0,0.00028,agile,,,,,
108.19,-0.34,40947.0,1427375859.0,0.459,0.081,4.590e-1+/-8.100e-2,499.78,17.73,4.232,17.73+/-4.232,150326.13173,1.0,0.000918,agile,,,,,
-68.99,2.43,40951.0,1427397111.0,0.07,0.016,7.000e-2+/-1.600e-2,495.54,9.96,3.156,9.96+/-3.156,150326.19115,0.0,0.00014,agile,,,,,
